Kegiatan Utama,Penduduk 15 tahun keatas - Laki-Laki,Penduduk 15 tahun keatas - Perempuan,Penduduk 15 tahun keatas - Laki-Laki + Perempuan
I. Angkatan Kerja/Economically Active,82124126,51436754,133560880
    1. Bekerja/Working,77766374,48748745,126515119
    2. Pengangguran Terbuka/Unemployment,4357752,2688009,7045761
II. Bukan Angkatan Kerja/Not Economically Active,16667523,47683374,64350897
    1. Sekolah/Attending School,8005101,8008463,16013564
    2. Mengurus Rumah tangga/Housekeeping,3503810,36711072,40214882
    3. Lainnya/Others,5158612,2963839,8122451
Jumlah/Total,98791649,99120128,197911777
