Kegiatan Utama,Penduduk 15 tahun keatas - Laki-Laki,Penduduk 15 tahun keatas - Perempuan,Penduduk 15 tahun keatas - Laki-Laki + Perempuan
I. Angkatan Kerja/Economically Active,90124837,57582615,147707452
    1. Bekerja/Working,85236573,54615804,139852377
    2. Pengangguran Terbuka/Unemployment,4888264,2966811,7855075
II. Bukan Angkatan Kerja/Not Economically Active,16838168,48041821,64879989
    1. Sekolah/Attending School,7619258,8177304,15796562
    2. Mengurus Rumah tangga/Housekeeping,3468519,36759104,40227623
    3. Lainnya/Others,5750391,3105413,8855804
Jumlah/Total,106963005,105624436,212587441
,,,
Keterangan,,,
*Kesalahan Baku Relatif 25%/<i>Relative Standard Error 25%</i>,,,
