Kegiatan Utama,Penduduk 15 tahun keatas - Laki-Laki,Penduduk 15 tahun keatas - Perempuan,Penduduk 15 tahun keatas - Laki-Laki + Perempuan
I. Angkatan Kerja/Economically Active,80399421,50606220,131005641
    1. Bekerja/Working,76059452,47945498,124004950
    2. Pengangguran Terbuka/Unemployment,4339969,2660722,7000691
II. Bukan Angkatan Kerja/Not Economically Active,16829978,46943822,63773800
    1. Sekolah/Attending School,8160957,8371365,16532322
    2. Mengurus Rumah tangga/Housekeeping,3880624,35767066,39647690
    3. Lainnya/Others,4788397,2805391,7593788
Jumlah/Total,97229399,97550042,194779441
