Kegiatan Utama,Penduduk 15 tahun keatas - Laki-Laki,Penduduk 15 tahun keatas - Perempuan,Penduduk 15 tahun keatas - Laki-Laki + Perempuan
I. Angkatan Kerja/Economically Active,92561183,61442588,154003771
    1. Bekerja/Working,88072304,58469960,146542264
    2. Pengangguran Terbuka/Unemployment,4488879,2972628,7461507
II. Bukan Angkatan Kerja/Not Economically Active,17113486,47050557,64164043
    1. Sekolah/Attending School,7437225,8025728,15462953
    2. Mengurus Rumah tangga/Housekeeping,3900009,35866388,39766397
    3. Lainnya/Others,5776252,3158441,8934693
Jumlah/Total,109674669,108493145,218167814
