region_name,tpak_male,tpak_female,year,admin_level
Rejang Lebong,86.69,67.16,2018,City_Regency
Bengkulu Utara,87.77,49.16,2018,City_Regency
Kaur,86.35,59.83,2018,City_Regency
Seluma,84.11,58.56,2018,City_Regency
Mukomuko,83.49,42.24,2018,City_Regency
Lebong,85.51,55.51,2018,City_Regency
Kepahiang,86.79,62.63,2018,City_Regency
Bengkulu Tengah,85.45,57.54,2018,City_Regency
Kota Bengkulu,76.35,52.39,2018,City_Regency
LAMPUNG,87.03,51.22,2018,Province
Lampung Barat,92.7,65.25,2018,City_Regency
Tanggamus,91.43,58.05,2018,City_Regency
Lampung Selatan,85.55,45.8,2018,City_Regency
Lampung Timur,87.99,46.99,2018,City_Regency
Lampung Tengah,89.84,56.69,2018,City_Regency
Lampung Utara,85.99,50.47,2018,City_Regency
Way Kanan,88.92,53.74,2018,City_Regency
Tulangbawang,88.68,48.02,2018,City_Regency
Pesawaran,86.6,48.77,2018,City_Regency
Pringsewu,84.98,50.02,2018,City_Regency
Mesuji,87.2,39.77,2018,City_Regency
Tulang Bawang Barat,88.44,50.85,2018,City_Regency
Pesisir Barat,89.36,42.94,2018,City_Regency
Kota Bandar Lampung,80.19,51.58,2018,City_Regency
Kota Metro,79.31,52.24,2018,City_Regency
KEP. BANGKA BELITUNG,83.21,50.03,2018,Province
Bangka,80.5,44.96,2018,City_Regency
Belitung,86.24,52.0,2018,City_Regency
Bangka Barat,84.35,53.95,2018,City_Regency
Bangka Tengah,83.31,56.47,2018,City_Regency
Bangka Selatan,85.27,47.64,2018,City_Regency
Belitung Timur,88.37,53.06,2018,City_Regency
Kota Pangkal Pinang,78.37,47.17,2018,City_Regency
KEPULAUAN RIAU,81.45,46.62,2018,Province
Karimun,78.08,46.52,2018,City_Regency
Bintan,79.88,42.57,2018,City_Regency
Natuna,81.62,49.76,2018,City_Regency
Lingga,81.74,48.15,2018,City_Regency
Kepulauan Anambas,83.26,52.82,2018,City_Regency
Kota Batam,83.3,46.48,2018,City_Regency
Kota Tanjung Pinang,74.3,47.64,2018,City_Regency
DKI JAKARTA,78.14,47.86,2018,Province
Kep. Seribu,76.18,44.02,2018,City_Regency
Kota Jakarta Selatan,78.23,51.61,2018,City_Regency
Kota Jakarta Timur,77.65,43.69,2018,City_Regency
Kota Jakarta Pusat,78.86,49.81,2018,City_Regency
Kota Jakarta Barat,77.24,44.96,2018,City_Regency
Kota Jakarta Utara,79.76,52.85,2018,City_Regency
JAWA BARAT,82.96,42.25,2018,Province
Bogor,84.53,39.82,2018,City_Regency
Sukabumi,87.0,37.81,2018,City_Regency
Cianjur,84.58,34.24,2018,City_Regency
Bandung,81.2,41.88,2018,City_Regency
Garut,82.76,37.22,2018,City_Regency
Tasikmalaya,82.4,46.41,2018,City_Regency
Ciamis,85.83,48.37,2018,City_Regency
Kuningan,79.42,37.79,2018,City_Regency
Cirebon,80.74,41.85,2018,City_Regency
Majalengka,84.7,46.92,2018,City_Regency
Sumedang,83.37,40.94,2018,City_Regency
Indramayu,85.54,42.95,2018,City_Regency
Subang,86.96,41.5,2018,City_Regency
Purwakarta,83.08,42.47,2018,City_Regency
Karawang,84.96,43.49,2018,City_Regency
Bekasi,83.69,38.0,2018,City_Regency
Bandung Barat,84.09,37.76,2018,City_Regency
Pangandaran,88.01,67.74,2018,City_Regency
Kota Bogor,79.74,46.08,2018,City_Regency
Kota Sukabumi,79.42,39.39,2018,City_Regency
Kota Bandung,78.03,45.46,2018,City_Regency
Kota Cirebon,79.63,56.3,2018,City_Regency
Kota Bekasi,80.48,49.83,2018,City_Regency
Kota Depok,79.98,44.93,2018,City_Regency
Kota Cimahi,82.65,46.0,2018,City_Regency
Kota Tasikmalaya,81.96,43.26,2018,City_Regency
Kota Banjar,81.07,49.47,2018,City_Regency
JAWA TENGAH,81.59,56.43,2018,Province
Cilacap,77.64,47.7,2018,City_Regency
Banyumas,83.1,52.59,2018,City_Regency
Purbalingga,83.5,58.18,2018,City_Regency
Banjarnegara,86.35,57.63,2018,City_Regency
Kebumen,79.72,52.15,2018,City_Regency
Purworejo,78.89,55.44,2018,City_Regency
Wonosobo,84.03,60.51,2018,City_Regency
Magelang,80.92,62.02,2018,City_Regency
Boyolali,82.69,62.45,2018,City_Regency
Klaten,79.24,55.72,2018,City_Regency
Sukoharjo,79.4,57.87,2018,City_Regency
Wonogiri,85.45,65.75,2018,City_Regency
Karanganyar,80.87,60.41,2018,City_Regency
Sragen,80.91,54.36,2018,City_Regency
Grobogan,81.51,60.46,2018,City_Regency
Blora,85.34,61.25,2018,City_Regency
Rembang,80.54,55.15,2018,City_Regency
Pati,81.71,53.11,2018,City_Regency
Kudus,81.04,64.11,2018,City_Regency
Jepara,82.87,55.46,2018,City_Regency
Demak,82.49,59.84,2018,City_Regency
Semarang,80.96,64.49,2018,City_Regency
Temanggung,86.75,61.49,2018,City_Regency
Kendal,81.68,50.57,2018,City_Regency
Batang,84.02,56.69,2018,City_Regency
Pekalongan,83.79,57.94,2018,City_Regency
Pemalang,82.06,49.18,2018,City_Regency
Tegal,82.22,49.19,2018,City_Regency
Brebes,81.71,52.64,2018,City_Regency
Kota Magelang,77.15,60.99,2018,City_Regency
Kota Surakarta,76.06,56.68,2018,City_Regency
Kota Salatiga,77.75,66.88,2018,City_Regency
Kota Semarang,78.3,54.28,2018,City_Regency
Kota Pekalongan,80.31,60.59,2018,City_Regency
Kota Tegal,78.23,53.3,2018,City_Regency
D I YOGYAKARTA,82.57,64.03,2018,Province
Kulon Progo,85.51,67.73,2018,City_Regency
Bantul,84.23,63.37,2018,City_Regency
Gunung Kidul,87.49,66.78,2018,City_Regency
Sleman,79.88,61.92,2018,City_Regency
Kota Yogyakarta,75.42,62.83,2018,City_Regency
JAWA TIMUR,84.41,55.31,2018,Province
Pacitan,89.57,70.05,2018,City_Regency
Ponorogo,84.17,60.38,2018,City_Regency
Trenggalek,87.65,63.38,2018,City_Regency
Tulungagung,84.24,58.12,2018,City_Regency
Blitar,85.92,55.34,2018,City_Regency
Kediri,85.11,50.49,2018,City_Regency
Malang,85.67,53.92,2018,City_Regency
Lumajang,87.02,50.71,2018,City_Regency
Jember,86.36,50.78,2018,City_Regency
Banyuwangi,87.86,56.87,2018,City_Regency
Bondowoso,86.17,58.1,2018,City_Regency
Situbondo,89.45,55.95,2018,City_Regency
Probolinggo,87.15,51.26,2018,City_Regency
Pasuruan,85.11,54.95,2018,City_Regency
Sidoarjo,79.96,49.8,2018,City_Regency
Mojokerto,85.25,58.91,2018,City_Regency
Jombang,86.37,54.24,2018,City_Regency
Nganjuk,85.48,50.98,2018,City_Regency
Madiun,82.71,56.98,2018,City_Regency
Magetan,86.49,69.44,2018,City_Regency
Ngawi,87.65,64.09,2018,City_Regency
Bojonegoro,84.37,50.97,2018,City_Regency
Tuban,88.97,55.45,2018,City_Regency
Lamongan,81.98,55.36,2018,City_Regency
Gresik,84.25,51.35,2018,City_Regency
Bangkalan,81.02,58.72,2018,City_Regency
Sampang,78.17,57.78,2018,City_Regency
Pamekasan,79.3,60.85,2018,City_Regency
Sumenep,84.79,60.43,2018,City_Regency
Kota Kediri,74.95,56.14,2018,City_Regency
Kota Blitar,80.18,64.88,2018,City_Regency
Kota Malang,79.18,53.85,2018,City_Regency
Kota Probolinggo,80.51,50.61,2018,City_Regency
Kota Pasuruan,81.6,52.17,2018,City_Regency
Kota Mojokerto,79.08,60.37,2018,City_Regency
Kota Madiun,78.09,52.2,2018,City_Regency
Kota Surabaya,81.21,53.85,2018,City_Regency
Kota Batu,85.0,56.09,2018,City_Regency
BANTEN,80.85,44.3,2018,Province
Pandeglang,82.55,41.4,2018,City_Regency
Lebak,81.59,52.48,2018,City_Regency
Tangerang,83.36,41.57,2018,City_Regency
Serang,80.61,42.5,2018,City_Regency
Kota Tangerang,79.22,46.03,2018,City_Regency
Kota Cilegon,81.12,43.96,2018,City_Regency
Kota Serang,76.02,47.82,2018,City_Regency
Kota Tangerang Selatan,77.94,44.09,2018,City_Regency
BALI,82.94,70.14,2018,Province
Jembrana,85.21,69.61,2018,City_Regency
Tabanan,83.65,71.11,2018,City_Regency
Badung,79.61,62.38,2018,City_Regency
Gianyar,83.09,74.79,2018,City_Regency
Klungkung,80.49,75.37,2018,City_Regency
Bangli,88.7,82.68,2018,City_Regency
Karangasem,84.17,80.42,2018,City_Regency
Buleleng,82.68,70.67,2018,City_Regency
Kota Denpasar,82.94,63.68,2018,City_Regency
NUSA TENGGARA BARAT,80.0,54.27,2018,Province
Lombok Barat,76.09,44.64,2018,City_Regency
Lombok Tengah,79.52,57.17,2018,City_Regency
Lombok Timur,76.51,55.99,2018,City_Regency
Sumbawa,87.91,48.86,2018,City_Regency
Dompu,82.2,49.17,2018,City_Regency
Bima,86.51,65.76,2018,City_Regency
Sumbawa Barat,86.7,56.81,2018,City_Regency
Lombok Utara,,,2018,City_Regency
Kota Mataram,76.36,50.43,2018,City_Regency
Kota Bima,81.91,62.27,2018,City_Regency
NUSA TENGGARA TIMUR,83.0,60.9,2018,Province
Sumba Barat,76.59,54.33,2018,City_Regency
Sumba Timur,87.68,67.52,2018,City_Regency
Kupang,86.0,55.35,2018,City_Regency
Timor Tengah Selatan,87.81,67.08,2018,City_Regency
Timor Tengah Utara,88.85,65.06,2018,City_Regency
Belu,80.89,54.07,2018,City_Regency
Alor,75.47,60.16,2018,City_Regency
Lembata,84.25,57.37,2018,City_Regency
Flores Timur,83.36,59.18,2018,City_Regency
Sikka,85.0,60.82,2018,City_Regency
Ende,84.13,66.84,2018,City_Regency
Ngada,79.26,66.81,2018,City_Regency
Manggarai,82.97,67.8,2018,City_Regency
Rote Ndao,85.94,62.05,2018,City_Regency
Manggarai Barat,84.76,54.0,2018,City_Regency
Sumba Tengah,76.78,52.72,2018,City_Regency
Sumba Barat Daya,87.62,73.57,2018,City_Regency
Nagekeo,76.89,54.42,2018,City_Regency
Manggarai Timur,85.61,54.08,2018,City_Regency
Sabu Raijua,84.39,70.34,2018,City_Regency
Malaka,87.03,61.74,2018,City_Regency
Kota Kupang,69.55,49.94,2018,City_Regency
KALIMANTAN BARAT,84.09,53.07,2018,Province
Sambas,85.36,58.42,2018,City_Regency
Bengkayang,86.1,65.38,2018,City_Regency
Landak,85.34,62.93,2018,City_Regency
Mempawah,82.59,47.31,2018,City_Regency
Sanggau,85.79,58.85,2018,City_Regency
Ketapang,86.83,44.39,2018,City_Regency
Sintang,86.4,56.34,2018,City_Regency
Kapuas Hulu,85.95,65.97,2018,City_Regency
Sekadau,88.57,63.94,2018,City_Regency
Melawi,86.83,60.03,2018,City_Regency
Kayong Utara,83.91,46.95,2018,City_Regency
Kubu Raya,83.13,41.31,2018,City_Regency
Kota Pontianak,78.36,44.51,2018,City_Regency
Kota Singkawang,74.55,47.27,2018,City_Regency
KALIMANTAN TENGAH,85.92,51.82,2018,Province
Kotawaringin Barat,89.13,52.54,2018,City_Regency
Kotawaringin Timur,87.58,45.97,2018,City_Regency
Kapuas,85.46,52.58,2018,City_Regency
Barito Selatan,80.49,42.61,2018,City_Regency
Barito Utara,85.89,60.23,2018,City_Regency
Sukamara,88.71,56.91,2018,City_Regency
Lamandau,84.5,47.98,2018,City_Regency
Seruyan,90.48,55.81,2018,City_Regency
Katingan,85.49,51.34,2018,City_Regency
Pulang Pisau,87.75,52.38,2018,City_Regency
Gunung Mas,88.81,60.13,2018,City_Regency
Barito Timur,88.92,67.96,2018,City_Regency
Murung Raya,85.95,50.28,2018,City_Regency
Kota Palangka Raya,76.43,47.8,2018,City_Regency
KALIMANTAN SELATAN,84.22,54.98,2018,Province
Tanah Laut,85.27,47.32,2018,City_Regency
Kotabaru,85.51,52.84,2018,City_Regency
Banjar,86.85,55.61,2018,City_Regency
Barito Kuala,90.61,67.95,2018,City_Regency
Tapin,85.76,53.61,2018,City_Regency
Hulu Sungai Selatan,84.24,59.61,2018,City_Regency
Hulu Sungai Tengah,84.85,63.14,2018,City_Regency
Hulu Sungai Utara,82.72,58.09,2018,City_Regency
Tabalong,88.41,61.39,2018,City_Regency
Tanah Bumbu,83.02,47.07,2018,City_Regency
Balangan,86.75,68.03,2018,City_Regency
Kota Banjarmasin,80.12,48.96,2018,City_Regency
Kota Banjar Baru,74.8,49.81,2018,City_Regency
KALIMANTAN TIMUR,82.06,45.18,2018,Province
Paser,85.73,45.23,2018,City_Regency
Kutai Barat,85.01,55.59,2018,City_Regency
Kutai Kartanegara,83.64,42.33,2018,City_Regency
Kutai Timur,85.04,49.38,2018,City_Regency
Berau,87.33,43.62,2018,City_Regency
Penajam Paser Utara,82.16,44.87,2018,City_Regency
Mahakam Ulu,85.24,71.78,2018,City_Regency
Kota Balikpapan,77.56,48.81,2018,City_Regency
Kota Samarinda,79.63,40.95,2018,City_Regency
Kota Bontang,81.28,46.36,2018,City_Regency
KALIMANTAN UTARA,81.82,49.44,2018,Province
Malinau,87.79,59.34,2018,City_Regency
Bulungan,82.96,51.83,2018,City_Regency
Tana Tidung,82.85,36.04,2018,City_Regency
Nunukan,87.16,53.25,2018,City_Regency
Kota Tarakan,75.1,43.93,2018,City_Regency
SULAWESI UTARA,80.34,45.16,2018,Province
Bolaang Mongondow,85.01,43.06,2018,City_Regency
Minahasa,80.17,51.17,2018,City_Regency
Kepulauan Sangihe,80.38,46.35,2018,City_Regency
Kepulauan Talaud,85.88,49.96,2018,City_Regency
Minahasa Selatan,82.79,45.34,2018,City_Regency
Minahasa Utara,80.49,39.46,2018,City_Regency
Bolaang Mongondow Utara,81.34,36.44,2018,City_Regency
Siau Tagulandang Biaro,81.11,51.35,2018,City_Regency
Minahasa Tenggara,81.03,41.72,2018,City_Regency
Bolaang Mongondow Selatan,85.84,34.51,2018,City_Regency
Bolaang Mongondow Timur,83.29,43.39,2018,City_Regency
Kota Manado,74.72,44.6,2018,City_Regency
Kota Bitung,80.28,44.64,2018,City_Regency
Kota Tomohon,76.21,45.52,2018,City_Regency
Kota Kotamobagu,80.26,49.22,2018,City_Regency
SULAWESI TENGAH,84.98,53.91,2018,Province
Banggai Kepulauan,83.39,57.28,2018,City_Regency
Banggai,85.61,57.48,2018,City_Regency
Morowali,86.27,35.05,2018,City_Regency
Poso,88.8,61.47,2018,City_Regency
Donggala,84.13,42.92,2018,City_Regency
Toli-Toli,86.15,46.93,2018,City_Regency
Buol,84.75,48.75,2018,City_Regency
Parigi Moutong,87.16,56.54,2018,City_Regency
Tojo Una-Una,87.08,65.83,2018,City_Regency
Sigi,83.74,54.27,2018,City_Regency
Banggai Laut,83.29,55.59,2018,City_Regency
Morowali Utara,90.63,59.21,2018,City_Regency
Kota Palu,77.76,54.55,2018,City_Regency
SULAWESI SELATAN,81.33,47.65,2018,Province
Kepulauan Selayar,86.45,49.75,2018,City_Regency
Bulukumba,87.91,43.97,2018,City_Regency
Bantaeng,87.62,58.36,2018,City_Regency
Jeneponto,85.25,53.9,2018,City_Regency
Takalar,85.11,48.91,2018,City_Regency
Gowa,83.67,53.93,2018,City_Regency
Sinjai,85.6,54.89,2018,City_Regency
Maros,80.25,42.05,2018,City_Regency
Pangkajene dan Kepulauan,83.57,46.34,2018,City_Regency
Barru,80.76,36.56,2018,City_Regency
Bone,79.07,39.99,2018,City_Regency
Soppeng,81.61,49.55,2018,City_Regency
Wajo,82.87,39.16,2018,City_Regency
Sidenreng Rappang,81.12,34.2,2018,City_Regency
Pinrang,79.74,41.89,2018,City_Regency
Enrekang,83.45,53.29,2018,City_Regency
Luwu,80.14,46.62,2018,City_Regency
Tana Toraja,85.96,75.14,2018,City_Regency
Luwu Utara,80.62,49.15,2018,City_Regency
Luwu Timur,88.92,53.67,2018,City_Regency
Toraja Utara,76.95,69.01,2018,City_Regency
Kota Makasar,75.23,45.9,2018,City_Regency
Kota Parepare,81.46,48.93,2018,City_Regency
Kota Palopo,75.82,45.06,2018,City_Regency
SULAWESI TENGGARA,83.97,55.65,2018,Province
Buton,80.59,60.72,2018,City_Regency
Muna,75.65,54.64,2018,City_Regency
Konawe,87.6,53.18,2018,City_Regency
Kolaka,87.25,51.36,2018,City_Regency
Konawe Selatan,88.15,60.56,2018,City_Regency
Bombana,86.8,56.92,2018,City_Regency
Wakatobi,85.2,58.52,2018,City_Regency
Kolaka Utara,90.8,56.08,2018,City_Regency
Buton Utara,85.44,65.22,2018,City_Regency
Konawe Utara,89.5,59.4,2018,City_Regency
Kolaka Timur,91.18,63.95,2018,City_Regency
Konawe Kepulauan,85.63,67.68,2018,City_Regency
Muna Barat,88.81,68.24,2018,City_Regency
Buton Tengah,78.11,50.66,2018,City_Regency
Buton Selatan,78.52,48.09,2018,City_Regency
Kota Kendari,75.25,48.0,2018,City_Regency
Kota Baubau,81.2,56.06,2018,City_Regency
GORONTALO,84.24,51.66,2018,Province
Boalemo,84.48,57.04,2018,City_Regency
Gorontalo,83.47,54.62,2018,City_Regency
Pohuwato,88.03,50.73,2018,City_Regency
Bone Bolango,86.7,46.6,2018,City_Regency
Gorontalo Utara,87.63,55.51,2018,City_Regency
Kota Gorontalo,79.07,45.41,2018,City_Regency
SULAWESI BARAT,84.52,53.96,2018,Province
Majene,85.3,59.48,2018,City_Regency
Polewali Mandar,82.44,51.49,2018,City_Regency
Mamasa,84.87,68.16,2018,City_Regency
Mamuju,83.13,43.79,2018,City_Regency
Mamuju Utara / Pasangkayu,87.24,52.03,2018,City_Regency
Mamuju Tengah,89.4,62.92,2018,City_Regency
MALUKU,77.5,50.05,2018,Province
