region_name,tpak_male,tpak_female,year,admin_level
NUSA TENGGARA TIMUR,82.53,65.34,2021,Province
KALIMANTAN BARAT,83.05,53.43,2021,Province
KALIMANTAN TENGAH,84.7,51.12,2021,Province
KALIMANTAN SELATAN,83.55,54.72,2021,Province
KALIMANTAN TIMUR,81.35,48.2,2021,Province
KALIMANTAN UTARA,81.75,48.44,2021,Province
SULAWESI UTARA,78.98,44.72,2021,Province
SULAWESI TENGAH,84.78,52.17,2021,Province
SULAWESI SELATAN,81.03,49.42,2021,Province
SULAWESI TENGGARA,84.08,56.27,2021,Province
GORONTALO,81.6,50.41,2021,Province
SULAWESI BARAT,86.1,54.38,2021,Province
MALUKU,77.66,53.71,2021,Province
MALUKU UTARA,81.22,47.57,2021,Province
PAPUA BARAT,80.53,58.78,2021,Province
PAPUA BARAT DAYA,,,2021,Province
PAPUA,86.41,69.1,2021,Province
PAPUA SELATAN,,,2021,Province
PAPUA TENGAH,,,2021,Province
PAPUA PEGUNUNGAN,,,2021,Province
ACEH,80.57,49.05,2023,Province
SUMATERA UTARA,84.4,57.81,2023,Province
SUMATERA BARAT,82.21,56.94,2023,Province
RIAU,83.77,44.27,2023,Province
JAMBI,85.27,51.68,2023,Province
SUMATERA SELATAN,85.39,55.54,2023,Province
BENGKULU,84.99,56.22,2023,Province
LAMPUNG,87.3,52.01,2023,Province
KEP. BANGKA BELITUNG,85.38,50.31,2023,Province
KEPULAUAN RIAU,84.92,51.95,2023,Province
DKI JAKARTA,80.25,50.12,2023,Province
JAWA BARAT,84.63,47.98,2023,Province
JAWA TENGAH,84.52,58.92,2023,Province
D I YOGYAKARTA,83.76,64.75,2023,Province
JAWA TIMUR,85.9,59.46,2023,Province
BANTEN,82.16,46.16,2023,Province
BALI,83.55,70.63,2023,Province
NUSA TENGGARA BARAT,84.18,62.54,2023,Province
NUSA TENGGARA TIMUR,83.03,68.52,2023,Province
KALIMANTAN BARAT,84.85,53.11,2023,Province
KALIMANTAN TENGAH,84.85,48.13,2023,Province
