Provinsi/Kabupaten/Kota/Indonesia,,
,Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin,
,Laki-laki,Perempuan
Bandung Barat,87.12,48.84
Pangandaran,91.31,69.11
Kota Bogor,83.71,50.69
Kota Sukabumi,79.54,45.67
Kota Bandung,83.93,51.96
Kota Cirebon,82.41,54.77
Kota Bekasi,80.54,50.63
Kota Depok,78.9,46.83
Kota Cimahi,82.9,49.99
Kota Tasikmalaya,83.54,54.03
Kota Banjar,82.35,52.16
JAWA TENGAH,85.66,61.82
Cilacap,83.55,52.28
Banyumas,85.44,50.62
Purbalingga,86.48,62.25
Banjarnegara,87.45,58.96
Kebumen,88.08,66.46
Purworejo,84.64,62.87
Wonosobo,87.55,61.97
Magelang,87.51,67.9
Boyolali,84.67,65.85
Klaten,84.73,64
Sukoharjo,79.64,56.92
Wonogiri,88,67.63
Karanganyar,85.07,64.27
Sragen,84.19,65.1
Grobogan,90.17,63.01
Blora,85.38,61.75
Rembang,87.23,61.76
Pati,88.61,65.08
Kudus,83.36,67.86
Jepara,86.16,57.69
Demak,86.06,58.56
Semarang,87.09,71.67
Temanggung,87.61,68.52
Kendal,87.16,66.45
Batang,88.96,66.81
Pekalongan,87.33,65.13
Pemalang,85.15,59.09
Tegal,82.33,64.47
Brebes,88.09,55.38
Kota Magelang,77.91,57.68
Kota Surakarta,78.93,56.45
Kota Salatiga,80.18,61.65
Kota Semarang,79.92,60.24
Kota Pekalongan,85.54,66.48
Kota Tegal,83.51,55.63
D I YOGYAKARTA,83.27,66.59
Kulon Progo,84.69,72.66
Bantul,82.77,67.15
Gunung Kidul,86.6,67.51
Sleman,82.86,63.99
Kota Yogyakarta,77.43,64.19
JAWA TIMUR,86.52,60.64
Pacitan,90.3,82.93
Ponorogo,87.19,70.46
Trenggalek,89.94,70.27
Tulungagung,87.99,63.29
Blitar,87.26,57.41
Kediri,86.69,55.76
Malang,87.02,58.74
Lumajang,88.5,53.91
Jember,87.96,59.84
Banyuwangi,88.01,62.87
Bondowoso,89.86,60.97
Situbondo,89.85,64.13
Probolinggo,88.74,58.3
Pasuruan,87.51,63.27
Sidoarjo,82.54,54.23
Mojokerto,87.06,60.88
Jombang,85.48,58.2
Nganjuk,84.35,55.22
Madiun,85.4,59.73
Magetan,86.42,68.12
Ngawi,86.19,65.64
Bojonegoro,88.26,59.53
Tuban,89.92,59.41
Lamongan,89,60.78
Gresik,86.8,56.37
Bangkalan,84.17,57.37
Sampang,87.54,60.1
Pamekasan,87.27,71.42
Sumenep,87.24,69.82
Kota Kediri,80.99,60.55
Kota Blitar,82.02,59.23
Kota Malang,79.5,55.86
Kota Probolinggo,82.44,53.09
Kota Pasuruan,82.98,62.58
Kota Mojokerto,84.06,61.61
Kota Madiun,78.87,62.81
Kota Surabaya,81.92,59.48
Kota Batu,87.33,59.65
BANTEN,82.95,48.9
Pandeglang,83.45,49.49
Lebak,87.26,57.53
Tangerang,84.29,46.78
Serang,83.05,51.86
Kota Tangerang,82.13,49.79
Kota Cilegon,78.06,43.26
Kota Serang,84.38,53.21
Kota Tangerang Selatan,76.58,40.01
BALI,83.77,70.49
Jembrana,86.78,73.49
Tabanan,83.17,67.59
Badung,83.16,68.07
Gianyar,83.7,69.46
Klungkung,82.89,71.58
Bangli,88.02,76.49
Karangasem,87.41,80.11
Buleleng,84.77,74.78
Kota Denpasar,78.8,60.5
NUSA TENGGARA BARAT,86.47,68.04
Lombok Barat,87.97,64.47
Lombok Tengah,86.88,71.38
Lombok Timur,86.95,69.94
Sumbawa,83.45,64.46
Dompu,86.66,73.96
Bima,86.81,69.23
Sumbawa Barat,87.81,63.59
Lombok Utara,91.84,69.91
Kota Mataram,82.48,61.41
Kota Bima,82.15,64.58
NUSA TENGGARA TIMUR,84.7,70.4
Sumba Barat,81.47,72.69
Sumba Timur,81.34,67.17
Kupang,82.91,55.44
Timor Tengah Selatan,93.2,81.81
Timor Tengah Utara,86.81,78.52
Belu,89.36,70.44
Alor,84.31,78.13
Lembata,88.57,79.08
Flores Timur,81.56,67.42
Sikka,82.23,66.47
Ende,82.04,72.86
Ngada,89.36,83.57
Manggarai,88.28,78.04
Rote Ndao,82.42,61.14
Manggarai Barat,83.81,69.56
Sumba Tengah,83.82,69.1
Sumba Barat Daya,86.28,70.78
Nagekeo,85.11,67.33
Manggarai Timur,88.16,78.47
Sabu Raijua,82.85,71.68
Malaka,76.63,67.68
Kota Kupang,79.1,54.86
KALIMANTAN BARAT,86.05,53.95
Sambas,85.2,59.91
Bengkayang,86.85,56.88
Landak,85.61,56.55
Mempawah,88.88,56.54
Sanggau,87.44,54.67
Ketapang,89.57,41.81
Sintang,85.87,63.22
Kapuas Hulu,86.15,65.25
Sekadau,90.71,61.41
Melawi,88.96,60.51
Kayong Utara,86.82,55.67
Kubu Raya,87.66,43.07
Kota Pontianak,78.59,50.68
Kota Singkawang,81.13,50.46
KALIMANTAN TENGAH,86.5,49.6
Kotawaringin Barat,88.89,47.87
Kotawaringin Timur,85.63,40.77
Kapuas,88.1,53.9
Barito Selatan,84.54,52.58
Barito Utara,84.87,55.61
Sukamara,85.39,52.27
Lamandau,87.99,53.78
Seruyan,89.33,48.06
Katingan,85.96,47.82
Pulang Pisau,90.03,53.13
Gunung Mas,87.72,47.35
Barito Timur,87.71,68.91
Murung Raya,82.49,37.92
Kota Palangka Raya,82.15,49.37
KALIMANTAN SELATAN,84.71,55.52
Tanah Laut,88.96,56.4
Kotabaru,85.02,45.25
Banjar,86.42,55.45
Barito Kuala,88.92,57.66
Tapin,83.28,53.03
Hulu Sungai Selatan,87.24,64.32
Hulu Sungai Tengah,85.5,63.51
Hulu Sungai Utara,84.75,63.09
Tabalong,85.03,63.08
Tanah Bumbu,87.02,46.8
Balangan,86.86,66.81
Kota Banjarmasin,77.16,50.93
Kota Banjar Baru,81.87,52.65
KALIMANTAN TIMUR,83.75,49.07
Paser,89.43,46.22
Kutai Barat,83.77,55.1
Kutai Kartanegara,83.85,44.86
Kutai Timur,86.25,43.71
Berau,86.02,46.32
Penajam Paser Utara,88.5,56.79
Mahakam Ulu,81.17,57.98
Kota Balikpapan,80.33,52.71
Kota Samarinda,80.87,49.7
Kota Bontang,84.11,50.72
KALIMANTAN UTARA,86.51,52.14
Malinau,86.54,57.83
Bulungan,87.8,53.51
Tana Tidung,87.49,58.41
Nunukan,90.74,58.03
Kota Tarakan,81.88,44
SULAWESI UTARA,81.91,49.59
Bolaang Mongondow,86.06,48.52
Minahasa,79.84,49.54
Kepulauan Sangihe,80.64,45.18
Kepulauan Talaud,80.4,57.74
Minahasa Selatan,84,48.62
Minahasa Utara,82.7,43.66
Bolaang Mongondow Utara,84.19,49.42
Siau Tagulandang Biaro,83.78,55.19
Minahasa Tenggara,87.19,57.93
Bolaang Mongondow Selatan,87.3,44.36
Bolaang Mongondow Timur,85.46,37.76
Kota Manado,76.34,50.09
Kota Bitung,82.61,52.39
Kota Tomohon,76.36,50.92
Kota Kotamobagu,86.25,55.52
SULAWESI TENGAH,85.94,55.47
Banggai Kepulauan,84.89,61.84
Banggai,86.46,56.41
Morowali,85.2,30.82
Poso,82.17,54.34
Donggala,85.01,50.77
Toli-Toli,87.54,49.58
Buol,85.95,54.36
Parigi Moutong,88.91,59.79
Tojo Una-Una,88.83,60.41
Sigi,86.93,64.43
Banggai Laut,85.2,52.51
Morowali Utara,84.72,54.5
Kota Palu,83.4,57.72
SULAWESI SELATAN,82.52,52.68
Kepulauan Selayar,79.84,55.25
Bulukumba,84.85,60.79
Bantaeng,88.05,69.11
Jeneponto,85.1,50.51
Takalar,85.3,44.93
Gowa,86.57,59.5
Sinjai,84.36,61.79
Maros,79.4,43.88
Pangkajene dan Kepulauan,84.96,58.16
Barru,78.57,41.26
Bone,82.44,47.12
Soppeng,81.41,45.23
Wajo,84.58,52.19
Sidenreng Rappang,83.97,39.21
Pinrang,82.58,46.53
Enrekang,85.25,65.17
Luwu,81.73,54.78
Tana Toraja,80.71,71.72
Luwu Utara,84.96,53.34
Luwu Timur,86.06,53.55
Toraja Utara,78.75,66.07
Kota Makasar,77.44,47.06
Kota Parepare,81.42,58.3
Kota Palopo,80.45,52.02
SULAWESI TENGGARA,85.03,60.3
Buton,81.17,57.19
Muna,78.23,62.68
Konawe,84.67,50.13
Kolaka,91.12,74.58
