Provinsi/Kabupaten/Kota/Indonesia,,
,Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin,
,Laki-laki,Perempuan
,2019,2019
ACEH,80.79,45.68
Simeulue,81.2,42.86
Aceh Singkil,80.63,37.25
Aceh Selatan,82.19,37.11
Aceh Tenggara,79.48,55.69
Aceh Timur,82.69,36.35
Aceh Tengah,86.65,57.94
Aceh Barat,80.2,41.08
Aceh Besar,74.71,36.64
Pidie,78.45,49.07
Bireuen,82.53,52.33
Aceh Utara,79.57,43.52
Aceh Barat Daya,80.05,36.66
Gayo Lues,88.4,62.05
Aceh Tamiang,83.43,46.42
Nagan Raya,83.95,38.64
Aceh Jaya,86.8,53.64
Bener Meriah,90.32,63.08
Pidie Jaya,76.45,45.03
Kota Banda Aceh,75.68,45.39
Kota Sabang,86.92,57.55
Kota Langsa,81.57,53.32
Kota Lhokseumawe,78.06,46.18
Kota Subulussalam,83.93,44.29
SUMATERA UTARA,84.19,56.8
Nias,86.56,83.19
Mandailing Natal,80.14,63.13
Tapanuli Selatan,86.62,64.31
Tapanuli Tengah,80.22,63.17
Tapanuli Utara,85.68,78.03
Toba Samosir / Toba,86.16,78.11
Labuhan Batu,82.67,42.29
Asahan,85.41,44.69
Simalungun,85.42,57.93
Dairi,89.32,84.77
Karo,88.32,79.39
Deli Serdang,86.96,50.59
Langkat,87.32,50.31
Nias Selatan,78.78,66.58
Humbang Hasundutan,88.32,88.54
Pakpak Bharat,93.66,82.4
Samosir,83.24,80.19
Serdang Bedagai,88.58,52.94
Batu Bara,83.32,46.63
Padang Lawas Utara,87.7,68.59
Padang Lawas,86.54,66.18
Labuhan Batu Selatan,85.35,45.22
Labuhan Batu Utara,84.23,49.24
Nias Utara,79.47,72.2
Nias Barat,83.46,80.94
Kota Sibolga,81.63,60.86
Kota Tanjung Balai,83.67,46.17
Kota Pematang Siantar,80.06,63.15
Kota Tebing Tinggi,82.43,51.79
Kota Medan,79.05,51.82
Kota Binjai,83.35,50.94
Kota Padangsidimpuan,81.22,65.71
Kota Gunungsitoli,78.5,65.43
SUMATERA BARAT,81.86,54.26
Kepulauan Mentawai,90.73,74.89
Pesisir Selatan,84.48,53.72
Solok,82.54,59.58
Sijunjung,86.68,53.87
Tanah Datar,81.67,57.72
Padang Pariaman,80.21,47.28
Agam,81.63,58.24
Lima Puluh Kota,86.92,60.16
Pasaman,79.41,62.71
Solok Selatan,86.72,58.1
Dharmasraya,86.18,53.36
Pasaman Barat,85.65,45.57
Kota Padang,76.01,48.11
Kota Solok,78.42,47.12
Kota Sawah Lunto,81.38,58.53
Kota Padang Panjang,78.6,59.79
Kota Bukittinggi,77.06,54.97
Kota Payakumbuh,80.05,57.73
Kota Pariaman,79.65,59.68
RIAU,83.74,45.26
Kuantan Singingi,83.95,44.4
Indragiri Hulu,84.82,46.21
Indragiri Hilir,84.87,42.9
Pelalawan,88.36,48.18
Siak,87.04,41.19
Kampar,81.23,39.47
Rokan Hulu,87.28,47.4
Bengkalis,84.04,43.22
Rokan Hilir,84.55,36.74
Kepulauan Meranti,81.1,53.3
Kota Pekanbaru,78.56,52.76
Kota Dumai,85.57,51.86
JAMBI,84.16,46.74
Kerinci,82.78,50.01
Merangin,85.93,51.02
Sarolangun,85.38,44.54
Batang Hari,82.15,37.68
Muaro Jambi,82.56,34
Tanjung Jabung Timur,87.74,50.69
Tanjung Jabung Barat,86.4,53.12
Tebo,87.74,51.51
Bungo,82.41,44.38
Kota Jambi,82.53,50.16
Kota Sungai Penuh,77.24,49.83
SUMATERA SELATAN,83.25,51.68
Ogan Komering Ulu,83.52,52.85
Ogan Komering Ilir,86.34,54.85
Muara Enim,84.73,55.34
Lahat,85.94,55.75
Musi Rawas,86.57,55.45
Musi Banyuasin,85.77,45.51
Banyu Asin,83.45,42.45
Ogan Komering Ulu Selatan,90.42,61.47
Ogan Komering Ulu Timur,83.58,49.41
Ogan Ilir,83.3,62.07
Empat Lawang,83.71,59.01
Penukal Abab Lematang Ilir,83.29,63.83
Musi Rawas Utara,84.96,55.8
Kota Palembang,76.43,45.79
Kota Prabumulih,83.36,55.3
Kota Pagar Alam,82.48,55.32
Kota Lubuklinggau,84.52,56.91
BENGKULU,84.38,55.2
Bengkulu Selatan,82.82,57.28
Rejang Lebong,87.65,65.04
Bengkulu Utara,84.35,46.97
Kaur,85.81,57.54
Seluma,86.74,60.64
Mukomuko,86.83,41.66
Lebong,87.42,61.5
Kepahiang,85.19,65.99
Bengkulu Tengah,84.02,50.56
Kota Bengkulu,78.57,51.86
LAMPUNG,86.24,50.95
Lampung Barat,91.62,65.34
Tanggamus,85.51,50.33
Lampung Selatan,85.19,42.66
Lampung Timur,86.9,49.72
Lampung Tengah,88.61,54.6
Lampung Utara,84.31,51.85
Way Kanan,91.71,59.21
Tulangbawang,87.65,47.17
Pesawaran,85.95,48.14
Pringsewu,85.48,50.87
Mesuji,90.12,44.53
Tulang Bawang Barat,90.6,49.77
Pesisir Barat,87.26,52.5
Kota Bandar Lampung,79.69,51.32
Kota Metro,81.8,54.96
KEP. BANGKA BELITUNG,84.82,48.03
Bangka,81.41,44.48
Belitung,86.29,48.56
Bangka Barat,86.93,43.91
Bangka Tengah,85.81,51.18
Bangka Selatan,87.5,46.39
Belitung Timur,86.5,54.09
Kota Pangkal Pinang,82.32,52
KEPULAUAN RIAU,83.18,45.35
Karimun,78.63,36
Bintan,79.39,43.01
Natuna,83.74,48.21
Lingga,83.68,45.02
Kepulauan Anambas,82.21,42.44
Kota Batam,85.2,46.85
Kota Tanjung Pinang,77.52,47.11
DKI JAKARTA,80.44,47.62
Kep. Seribu,79.12,35.77
Kota Jakarta Selatan,78.58,47.45
Kota Jakarta Timur,80.4,47.28
Kota Jakarta Pusat,80.49,48.94
Kota Jakarta Barat,80.43,44.69
Kota Jakarta Utara,82.86,51.93
JAWA BARAT,83.25,46.33
Bogor,84.83,44.98
Sukabumi,84.74,40.02
Cianjur,84.4,46.4
Bandung,82.2,48.01
Garut,83.6,41.49
Tasikmalaya,83.92,49.63
Ciamis,84.38,51.17
Kuningan,82.08,40.47
Cirebon,81.99,47.7
Majalengka,83.95,52.02
Sumedang,83.75,44.49
Indramayu,84.39,50
Subang,84.64,50.55
Purwakarta,84.41,42.65
Karawang,82.89,43.22
Bekasi,84.11,43.18
Bandung Barat,82.88,40.46
Pangandaran,88.96,61.55
Kota Bogor,81.64,45.3
Kota Sukabumi,80.96,43.62
Kota Bandung,80.74,50.85
Kota Cirebon,79.42,46.24
Kota Bekasi,81.67,49.51
Kota Depok,81.68,48.12
Kota Cimahi,79.69,46.7
Kota Tasikmalaya,82.26,48.22
Kota Banjar,83.23,52.61
JAWA TENGAH,82.78,55.35
Cilacap,83.69,47.1
Banyumas,83.64,51.27
Purbalingga,82,54.82
Banjarnegara,84.5,55.72
Kebumen,81.76,56
Purworejo,81.96,52.32
Wonosobo,86.13,57.6
Magelang,85.37,64.06
Boyolali,83.72,62.2
Klaten,80.61,58.23
Sukoharjo,80.7,56.67
Wonogiri,85.07,55.78
Karanganyar,82.4,58.42
Sragen,81.47,54.76
Grobogan,86.34,52.76
Blora,84.39,53.46
Rembang,82.57,50.29
Pati,83.44,50.17
Kudus,83.04,61.57
Jepara,82.9,54.2
Demak,81.48,54.43
Semarang,85.36,64.58
Temanggung,87.74,64.73
Kendal,79.97,55.52
Batang,82.99,54.65
Pekalongan,84.24,58.43
Pemalang,83.84,49.36
Tegal,82.07,51.38
Brebes,81.92,50.22
Kota Magelang,72.93,57.33
Kota Surakarta,79.49,59.77
Kota Salatiga,77.56,57
Kota Semarang,76.87,57.43
Kota Pekalongan,82.95,62.14
Kota Tegal,81.47,58.17
D I YOGYAKARTA,81.85,63.95
Kulon Progo,85.31,68.26
Bantul,82,64.27
Gunung Kidul,87.38,65.87
Sleman,79.58,60.88
Kota Yogyakarta,75.44,63.96
JAWA TIMUR,84.74,55.07
Pacitan,89,70.85
Ponorogo,83.54,58.91
Trenggalek,86.12,61.06
Tulungagung,84.09,57.79
Blitar,89.21,56.69
Kediri,86.17,57.35
Malang,85.18,54.85
Lumajang,85.42,48.11
Jember,85.41,49.77
Banyuwangi,86.79,57.77
Bondowoso,91.01,62.05
Situbondo,87.26,58.5
Probolinggo,87.67,51.32
Pasuruan,86.88,51.36
Sidoarjo,83.2,50.75
Mojokerto,87.39,51.72
Jombang,86.62,55.84
Nganjuk,82.56,51.35
Madiun,84.03,57.48
Magetan,84.19,61.29
Ngawi,86.23,59.54
Bojonegoro,87.99,55.19
Tuban,85.63,52.58
Lamongan,83.06,55.97
Gresik,83.72,48.54
Bangkalan,77.56,51.09
Sampang,81.3,53.35
Pamekasan,80.85,57.11
Sumenep,85.72,66.18
Kota Kediri,76.77,53.04
Kota Blitar,81.04,63.6
Kota Malang,79.96,52.79
Kota Probolinggo,78.75,50.1
Kota Pasuruan,82.7,54.06
Kota Mojokerto,78.85,52.04
Kota Madiun,77.32,57.31
Kota Surabaya,81.79,56.22
Kota Batu,84.6,57.64
BANTEN,81.73,45.21
Pandeglang,80.73,40.26
Lebak,83.08,44.71
Tangerang,83.95,47.23
Serang,81.47,44.74
Kota Tangerang,81.69,47.44
Kota Cilegon,80.62,42.51
Kota Serang,81.44,43.01
Kota Tangerang Selatan,77.33,43.64
BALI,81.82,65.67
Jembrana,78.91,56.15
Tabanan,83.12,67.94
Badung,80.95,63.94
Gianyar,82.37,69.78
Klungkung,80.34,71.95
Bangli,85.79,80.38
Karangasem,83.99,77.28
Buleleng,78.41,60.82
Kota Denpasar,83.02,59.88
NUSA TENGGARA BARAT,83.43,56.36
Lombok Barat,84.18,58.24
Lombok Tengah,82.52,62.49
Lombok Timur,83.08,52.55
Sumbawa,86.01,46.94
Dompu,84.5,50.09
Bima,86.93,63.53
Sumbawa Barat,86.2,51.97
Lombok Utara,86.34,60.42
Kota Mataram,76.72,53.12
Kota Bima,82.65,62.04
NUSA TENGGARA TIMUR,81.31,59.74
Sumba Barat,80.59,62.7
Sumba Timur,81.49,57.46
Kupang,77.49,45.35
Timor Tengah Selatan,83.82,59.28
Timor Tengah Utara,83.91,60.52
Belu,78.13,52.59
Alor,78.26,65.72
Lembata,84.41,58.61
Flores Timur,83.69,55.01
Sikka,82.05,54.43
Ende,80.14,67.19
Ngada,84.23,61.69
Manggarai,80.93,64.17
Rote Ndao,81.59,60.02
