Provinsi/Kabupaten/Kota/Indonesia,,
,Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin,
Manggarai Barat,87.25,62.09
Sumba Tengah,81.84,56.91
Sumba Barat Daya,85.9,73.74
Nagekeo,80.07,58.59
Manggarai Timur,88.66,74.14
Sabu Raijua,76.99,64.89
Malaka,80.79,64.47
Kota Kupang,72.03,49.67
KALIMANTAN BARAT,83.59,52.92
Sambas,85.15,59.09
Bengkayang,86.65,59
Landak,81.43,54.85
Mempawah,81.42,44.43
Sanggau,86.17,50.94
Ketapang,85.59,44
Sintang,84.54,58.65
Kapuas Hulu,84.78,69.29
Sekadau,89.6,64.35
Melawi,87.73,60.84
Kayong Utara,82.84,49.32
Kubu Raya,82.33,47.04
Kota Pontianak,77.9,45.97
Kota Singkawang,80.22,53.36
KALIMANTAN TENGAH,85.43,51.53
Kotawaringin Barat,88.8,55.32
Kotawaringin Timur,85.06,46.7
Kapuas,83.01,50.52
Barito Selatan,83.94,54.28
Barito Utara,83.72,53.63
Sukamara,86.96,56.34
Lamandau,84.86,48.44
Seruyan,89.75,49.02
Katingan,89.41,49.2
Pulang Pisau,90.06,59.29
Gunung Mas,89.68,54.72
Barito Timur,84.41,63.4
Murung Raya,83.89,46.34
Kota Palangka Raya,78.37,49
KALIMANTAN SELATAN,83.22,54.05
Tanah Laut,86.81,50.53
Kotabaru,85.86,47.26
Banjar,82.93,60.61
Barito Kuala,89.69,59.34
Tapin,84.99,53.49
Hulu Sungai Selatan,85.95,56.02
Hulu Sungai Tengah,82.89,57.48
Hulu Sungai Utara,80.88,56.84
Tabalong,83.41,57.2
Tanah Bumbu,84.64,46.54
Balangan,85.98,56.52
Kota Banjarmasin,77.86,52.85
Kota Banjar Baru,77.63,47.03
KALIMANTAN TIMUR,83.04,47.17
Paser,85.08,44.64
Kutai Barat,82.45,49.08
Kutai Kartanegara,83.72,45.73
Kutai Timur,86.49,47.51
Berau,85.91,43.39
Penajam Paser Utara,81.33,45.76
Mahakam Ulu,87.17,49.65
Kota Balikpapan,81.79,48.42
Kota Samarinda,79.99,48.76
Kota Bontang,86.48,47.73
KALIMANTAN UTARA,83.26,45.16
Malinau,82.73,51.05
Bulungan,83,46.74
Tana Tidung,84.7,39.07
Nunukan,84.32,46.55
Kota Tarakan,82.59,42.18
SULAWESI UTARA,82.06,45.14
Bolaang Mongondow,86.59,37.07
Minahasa,80.42,45.5
Kepulauan Sangihe,80.97,43.43
Kepulauan Talaud,84.97,56.91
Minahasa Selatan,87.12,52.16
Minahasa Utara,81.31,42.91
Bolaang Mongondow Utara,82.75,44.66
Siau Tagulandang Biaro,81.94,45.69
Minahasa Tenggara,86.98,46.36
Bolaang Mongondow Selatan,84.84,30.28
Bolaang Mongondow Timur,88.1,42.44
Kota Manado,78.97,46.44
Kota Bitung,79.99,43.01
Kota Tomohon,75.31,50.09
Kota Kotamobagu,80.06,46.36
SULAWESI TENGAH,84.65,50.33
Banggai Kepulauan,88.05,59.23
Banggai,84.48,49.29
Morowali,84.44,40.82
Poso,86.9,57.25
Donggala,84.85,45.93
Toli-Toli,84.36,39.7
Buol,87.25,45.89
Parigi Moutong,88.51,46.99
Tojo Una-Una,89.67,67.19
Sigi,85.62,51.87
Banggai Laut,84.58,45.96
Morowali Utara,81.41,48.82
Kota Palu,75.34,55.97
SULAWESI SELATAN,81.72,47.01
Kepulauan Selayar,83.06,49.98
Bulukumba,85.1,52.63
Bantaeng,86.08,60.18
Jeneponto,86.58,49.5
Takalar,85.73,44.27
Gowa,84.9,49
Sinjai,84.72,48.61
Maros,84.74,43.8
Pangkajene dan Kepulauan,83.41,42.6
Barru,81.99,39.29
Bone,81.17,42.4
Soppeng,82.31,37.57
Wajo,82.97,44.91
Sidenreng Rappang,82.23,32.01
Pinrang,81.89,38.09
Enrekang,82.06,57.77
Luwu,83.13,49.05
Tana Toraja,84.21,75.07
Luwu Utara,86.62,55.84
Luwu Timur,86.7,46.66
Toraja Utara,75.39,67.77
Kota Makasar,74.15,44.01
Kota Parepare,79.3,49.7
Kota Palopo,76.81,48.02
SULAWESI TENGGARA,83.38,54.98
Buton,77.02,54.98
Muna,76.12,55.87
Konawe,85.77,50.54
Kolaka,86.47,53.72
Konawe Selatan,89.95,52.58
Bombana,85.71,56.5
Wakatobi,82.1,58.7
Kolaka Utara,91.84,66.74
Buton Utara,84.82,59.47
Konawe Utara,86.09,50.37
Kolaka Timur,92.38,61.12
Konawe Kepulauan,79.74,56.79
Muna Barat,80.64,45.95
Buton Tengah,77.99,58
Buton Selatan,80.63,51.27
Kota Kendari,76.32,53.2
Kota Baubau,77.64,55.77
GORONTALO,84.77,50.03
Boalemo,87.23,51.31
Gorontalo,83.95,48.85
Pohuwato,89.25,50.23
Bone Bolango,84.29,47.6
Gorontalo Utara,86.12,52.41
Kota Gorontalo,80.71,51.54
SULAWESI BARAT,86.82,52.86
Majene,81.82,54.66
Polewali Mandar,84.53,53.88
Mamasa,87.81,67.15
Mamuju,87.19,46.83
Mamuju Utara / Pasangkayu,91.56,49.76
Mamuju Tengah,91.83,46.27
MALUKU,77.28,50.5
Maluku Tenggara Barat / Kepulauan Tanimbar,78.21,59.24
Maluku Tenggara,71.44,51.38
Maluku Tengah,73.44,44.37
Buru,84.7,47.33
Kepulauan Aru,82.94,53.26
Seram Bagian Barat,85.96,57.51
Seram Bagian Timur,86.01,52.74
Maluku Barat Daya,88.33,64.68
Buru Selatan,86.45,61.46
Kota Ambon,71.17,48.25
Kota Tual,71.4,44.66
MALUKU UTARA,81.63,47.79
Halmahera Barat,81.24,45.23
Halmahera Tengah,85.67,44.67
Kepulauan Sula,80.42,50.01
Halmahera Selatan,86.65,53.1
Halmahera Utara,77.21,40.39
Halmahera Timur,82.83,50.14
Pulau Morotai,79.98,54.06
Pulau Taliabu,89.85,59.25
Kota Ternate,78.55,44.43
Kota Tidore Kepulauan,81.72,48.91
PAPUA BARAT,80.66,53.03
Fakfak,81.53,48.45
Kaimana,82.87,58.2
Teluk Wondama,82.77,54.45
Teluk Bintuni,82.77,45.43
Manokwari,81.07,50.5
Sorong Selatan,84.45,69.78
Sorong,83.36,48.7
Raja Ampat,81.35,51.29
Tambrauw,87.28,63.36
Maybrat,76.28,68.45
Manokwari Selatan,86.74,74.97
Pegunungan Arfak,94.47,88.95
Kota Sorong,75.25,45.39
PAPUA BARAT DAYA,-,-
Raja Ampat,-,-
Sorong,-,-
Sorong Selatan,-,-
Maybrat,-,-
Tambrauw,-,-
Kota Sorong,-,-
PAPUA,85.99,66.72
Merauke,83.81,49.82
Jayawijaya,88.61,82.34
Jayapura,78.25,51.81
Nabire,82.5,54.92
Kepulauan Yapen,80.04,59.54
Biak Numfor,73.25,45.56
Paniai,88.66,85.06
Puncak Jaya,90.9,58.67
Mimika,86.5,36.88
Boven Digoel,87.59,58.68
Mappi,83.21,53.9
Asmat,91.77,75.85
Yahukimo,92.68,70.93
Pegunungan Bintang,93.31,87.96
Tolikara,92.17,91.96
Sarmi,79.42,43.03
Keerom,87.81,62.39
Waropen,82.07,33.21
Supiori,83.04,50.82
Mamberamo Raya,89.04,52.6
Nduga,97,93.58
Lanny Jaya,90.93,94.81
Mamberamo Tengah,89.6,97.04
Yalimo,90.17,89.15
Puncak,87.25,70.9
Dogiyai,91.57,88.72
Intan Jaya,88.11,76.61
Deiyai,91.25,93.97
Kota Jayapura,75.3,48.15
PAPUA SELATAN,-,-
Merauke,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
PAPUA TENGAH,-,-
Mimika,-,-
Dogiyai,-,-
Deiyai,-,-
Nabire,-,-
Paniai,-,-
Intan Jaya,-,-
Puncak,-,-
Puncak Jaya,-,-
PAPUA PEGUNUNGAN,-,-
Nduga,-,-
Jayawijaya,-,-
Lanny Jaya,-,-
Tolikara,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
INDONESIA,83.25,51.81
