Provinsi/Kabupaten/Kota/Indonesia,,
,Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin,
,Laki-laki,Perempuan
,2021,2021
ACEH,79.4,48.36
Simeulue,82.29,59.46
Aceh Singkil,82.46,42.85
Aceh Selatan,77.52,45.14
Aceh Tenggara,78.7,60.83
Aceh Timur,79.35,39.86
Aceh Tengah,85.77,66.55
Aceh Barat,78.64,40.85
Aceh Besar,75.74,46.83
Pidie,76.03,46.08
Bireuen,81.82,51.11
Aceh Utara,75.69,41.95
Aceh Barat Daya,80.34,36.11
Gayo Lues,89.7,68.53
Aceh Tamiang,82.55,50.03
Nagan Raya,85.47,44.14
Aceh Jaya,87.95,55.49
Bener Meriah,88.64,65.98
Pidie Jaya,74.02,42.71
Kota Banda Aceh,73.82,51.3
Kota Sabang,76.41,50.7
Kota Langsa,79.82,54.63
Kota Lhokseumawe,80.02,48.15
Kota Subulussalam,82.25,45.07
SUMATERA UTARA,81.9,56.5
Nias,86.36,77.61
Mandailing Natal,79.91,60.31
Tapanuli Selatan,86.45,62.69
Tapanuli Tengah,80.23,69.89
Tapanuli Utara,86.84,78.65
Toba Samosir / Toba,84.88,76.06
Labuhan Batu,80.21,43.06
Asahan,83.35,42.58
Simalungun,85.25,60.12
Dairi,87.86,83.67
Karo,88.07,81.16
Deli Serdang,83.06,50.36
Langkat,84.25,53.8
Nias Selatan,78.11,66.67
Humbang Hasundutan,84.92,83.46
Pakpak Bharat,92.83,82.45
Samosir,84.95,83.82
Serdang Bedagai,82.34,51.17
Batu Bara,86.45,53.41
Padang Lawas Utara,87.01,66.79
Padang Lawas,85.37,65.14
Labuhan Batu Selatan,83.12,48.84
Labuhan Batu Utara,84.1,46.94
Nias Utara,78.87,69.93
Nias Barat,84.29,80.16
Kota Sibolga,83.61,58.77
Kota Tanjung Balai,82.14,50.81
Kota Pematang Siantar,77.08,61.09
Kota Tebing Tinggi,81.17,53.69
Kota Medan,75.12,49.7
Kota Binjai,78.58,47.17
Kota Padangsidimpuan,76.95,61.03
Kota Gunungsitoli,74.62,52.25
SUMATERA BARAT,80.67,55.04
Kepulauan Mentawai,88.68,75.74
Pesisir Selatan,80.68,52.97
Solok,82.98,59.87
Sijunjung,83.88,56.33
Tanah Datar,80.9,53.84
Padang Pariaman,79.5,50.64
Agam,80.16,53.58
Lima Puluh Kota,84.21,58.85
Pasaman,82.01,57.05
Solok Selatan,85.82,58.08
