Provinsi/Kabupaten/Kota/Indonesia,,
,Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin,
Dharmasraya,85.43,59.47
Pasaman Barat,82.55,50.92
Kota Padang,75.69,51.98
Kota Solok,77.72,55.66
Kota Sawah Lunto,80.81,55.55
Kota Padang Panjang,76.8,55.38
Kota Bukittinggi,77.07,58.51
Kota Payakumbuh,81.71,61.96
Kota Pariaman,73,52.97
RIAU,82.15,47.14
Kuantan Singingi,82.24,51.34
Indragiri Hulu,83.7,52.51
Indragiri Hilir,85.4,50.85
Pelalawan,86.9,50.22
Siak,83.99,44.19
Kampar,83.13,42.2
Rokan Hulu,85.13,46.94
Bengkalis,83.32,49.48
Rokan Hilir,83.1,37.35
Kepulauan Meranti,79.46,51.2
Kota Pekanbaru,74.3,48.54
Kota Dumai,79.6,49.55
JAMBI,83.91,49.89
Kerinci,83.92,58.06
Merangin,86.94,52.06
Sarolangun,83.14,46.33
Batang Hari,85.24,51.68
Muaro Jambi,83.48,40.77
Tanjung Jabung Timur,86.03,55.4
Tanjung Jabung Barat,87.75,59
Tebo,87.6,52.63
Bungo,82.45,44.06
Kota Jambi,78.73,47.68
Kota Sungai Penuh,78.3,52.29
SUMATERA SELATAN,82.66,54.54
Ogan Komering Ulu,84.07,55.24
Ogan Komering Ilir,84.94,53.74
Muara Enim,83.65,55.18
Lahat,81.67,56.97
Musi Rawas,86.37,53.94
Musi Banyuasin,85.28,52.27
Banyu Asin,84.55,45.73
Ogan Komering Ulu Selatan,89.08,61.48
Ogan Komering Ulu Timur,86.73,55.24
Ogan Ilir,79.56,57.59
Empat Lawang,82.14,61.98
Penukal Abab Lematang Ilir,80.75,65.65
Musi Rawas Utara,80.92,58.43
Kota Palembang,75.9,52.21
Kota Prabumulih,79.76,59.09
Kota Pagar Alam,85.21,62.63
Kota Lubuklinggau,86.85,60.49
BENGKULU,83.54,55.45
Bengkulu Selatan,83.38,64.51
Rejang Lebong,85.76,66.22
Bengkulu Utara,86.49,47.72
Kaur,82.01,55.63
Seluma,84.88,54.51
Mukomuko,84.64,41.57
Lebong,86.01,57.42
Kepahiang,85.96,64.73
Bengkulu Tengah,85.33,48.38
Kota Bengkulu,76.5,54.37
LAMPUNG,85.55,52.36
Lampung Barat,91.89,73.22
Tanggamus,86.12,49.71
Lampung Selatan,85.29,45.84
Lampung Timur,86.01,50.63
Lampung Tengah,88.45,55.64
Lampung Utara,85.56,47.45
Way Kanan,90.69,57.47
Tulangbawang,86.87,48.17
Pesawaran,81.72,48.02
Pringsewu,84.66,48.61
Mesuji,88.99,47.2
Tulang Bawang Barat,86.23,57.66
Pesisir Barat,86.34,61.52
Kota Bandar Lampung,78.58,55.78
Kota Metro,80.99,52.72
KEP. BANGKA BELITUNG,83.68,46.86
Bangka,82.04,41.84
Belitung,84.85,46.62
Bangka Barat,82.81,47.8
Bangka Tengah,85.77,44.74
Bangka Selatan,86.97,49.7
Belitung Timur,84.86,52.46
Kota Pangkal Pinang,80.27,49.65
KEPULAUAN RIAU,83.93,51.92
Karimun,79.27,41.76
Bintan,82.32,42.75
Natuna,86.13,57.45
Lingga,83.44,44.85
Kepulauan Anambas,83.73,55.72
Kota Batam,86.09,55.37
Kota Tanjung Pinang,74.63,46.26
DKI JAKARTA,78.31,47.34
Kep. Seribu,82.51,48.4
Kota Jakarta Selatan,76.48,46.8
Kota Jakarta Timur,77.44,44.62
Kota Jakarta Pusat,77.45,49.34
Kota Jakarta Barat,79.41,47.17
Kota Jakarta Utara,80.84,51.47
JAWA BARAT,81.68,47.88
Bogor,80.85,43.31
Sukabumi,84.26,45.14
Cianjur,85.01,49.86
Bandung,83.08,46.73
Garut,81.15,44.28
Tasikmalaya,85.54,51.47
Ciamis,86.5,53.92
Kuningan,82.39,45.41
Cirebon,79.82,48.48
Majalengka,81.31,54.22
Sumedang,82.22,55.1
Indramayu,85.13,53.7
Subang,85.64,49.77
Purwakarta,79.12,42.55
Karawang,82.95,44.47
Bekasi,80.71,50.49
Bandung Barat,80.76,40.2
Pangandaran,87.65,62.18
Kota Bogor,77.91,45.26
Kota Sukabumi,71.83,41.62
Kota Bandung,80.44,50
Kota Cirebon,76.18,49.76
Kota Bekasi,80.26,49.11
Kota Depok,77.24,47.92
Kota Cimahi,77.43,46.05
Kota Tasikmalaya,79.84,51.65
Kota Banjar,76.31,52.36
JAWA TENGAH,81.94,57.58
Cilacap,78.9,46.99
Banyumas,80.37,49.95
Purbalingga,84.17,55.42
Banjarnegara,84.93,54.61
Kebumen,80.22,55.59
Purworejo,84.49,62.57
Wonosobo,82.52,58.66
Magelang,85.14,66.4
Boyolali,86.13,65.93
Klaten,77.83,56.54
Sukoharjo,79.1,58.75
Wonogiri,83.35,63.58
Karanganyar,81.88,64.72
Sragen,81.64,62.41
Grobogan,85.05,61.13
Blora,84.23,57.49
Rembang,84.1,57.49
Pati,82.87,56.26
Kudus,82.01,67.86
Jepara,83.56,55.75
Demak,81.2,51.75
Semarang,85.5,63.29
Temanggung,86.14,61.88
Kendal,80.74,58.8
Batang,85.49,57.45
Pekalongan,84.94,58.33
Pemalang,80.19,52.14
Tegal,79.39,53.46
Brebes,77.33,50.57
Kota Magelang,74.48,59.98
Kota Surakarta,78.05,56.51
Kota Salatiga,76.97,64.14
Kota Semarang,79.99,59.42
Kota Pekalongan,85.76,65.93
Kota Tegal,81.31,55.63
D I YOGYAKARTA,82.83,64.59
Kulon Progo,85.65,68.32
Bantul,83.08,60.54
Gunung Kidul,85.19,67.65
Sleman,81.6,64.47
Kota Yogyakarta,79.17,65.11
JAWA TIMUR,84.46,56.11
Pacitan,89.95,71.81
Ponorogo,83.33,62.06
Trenggalek,85.69,59.32
Tulungagung,84.21,61.11
Blitar,86.15,54.77
Kediri,83.33,55.34
Malang,85.08,51.79
Lumajang,84.61,48.97
Jember,86.35,52.41
Banyuwangi,88.34,56.63
Bondowoso,88.06,60.7
Situbondo,85.98,58.22
Probolinggo,88.79,58.71
Pasuruan,85.59,53.02
Sidoarjo,82.06,50.86
Mojokerto,85.5,55.6
Jombang,85.71,56.02
Nganjuk,81.03,47.82
Madiun,82.76,53.4
Magetan,83.9,63.45
Ngawi,84.68,61.78
Bojonegoro,85.91,58.28
Tuban,89.44,58.73
Lamongan,83.26,59.17
Gresik,85.55,53.86
Bangkalan,79.76,58.95
Sampang,82.37,59.07
Pamekasan,79.02,53.77
Sumenep,84.82,67.54
Kota Kediri,80.24,54.68
Kota Blitar,81.32,59.04
Kota Malang,79.74,55.95
Kota Probolinggo,85.23,54.84
Kota Pasuruan,84.82,58.98
Kota Mojokerto,79.26,55.55
Kota Madiun,75.16,59.31
Kota Surabaya,81.69,53.44
Kota Batu,86.04,61.26
BANTEN,80.16,46.84
Pandeglang,81.71,42.26
Lebak,82.33,50.45
Tangerang,81,46.08
Serang,80.67,46.78
Kota Tangerang,79.28,49.14
Kota Cilegon,78.39,43.57
Kota Serang,78.47,45.03
Kota Tangerang Selatan,77.61,47.41
BALI,79.44,67.61
Jembrana,90.38,72.42
Tabanan,81.43,68.72
Badung,77.65,67.21
Gianyar,76.13,63.55
Klungkung,75.38,70.39
Bangli,84.98,79.16
Karangasem,84.65,77.7
Buleleng,80.35,66
Kota Denpasar,75.33,61.71
NUSA TENGGARA BARAT,82.58,59.18
Lombok Barat,83.24,58.14
Lombok Tengah,85.77,65.54
Lombok Timur,82.5,58.42
Sumbawa,82.2,50.13
Dompu,84.81,49.4
Bima,82.74,60.48
Sumbawa Barat,85.11,56.05
Lombok Utara,84.27,62.6
Kota Mataram,73.22,58
Kota Bima,84.92,66.19
NUSA TENGGARA TIMUR,82.53,65.34
Sumba Barat,81.76,65.93
Sumba Timur,81.28,62.88
Kupang,86.45,60.39
Timor Tengah Selatan,86.86,70.66
Timor Tengah Utara,85.28,71.8
Belu,83.06,58.62
Alor,78.6,66.67
Lembata,82.71,56.46
Flores Timur,82.16,62.88
Sikka,82.81,66.43
Ende,84.35,71.8
Ngada,80.38,65.19
Manggarai,83.53,72.02
Rote Ndao,85.66,62.16
Manggarai Barat,81.27,65.34
Sumba Tengah,80.84,56.46
Sumba Barat Daya,89.19,77.17
Nagekeo,77.9,57.51
Manggarai Timur,88.33,75.84
Sabu Raijua,74.12,63.17
Malaka,79.96,61.21
Kota Kupang,71.68,52.45
KALIMANTAN BARAT,83.05,53.43
Sambas,85.46,60.96
Bengkayang,82.69,56.43
Landak,81.83,57.46
Mempawah,80.4,41
Sanggau,84.24,53.59
Ketapang,83.75,43.83
Sintang,88.03,66.93
Kapuas Hulu,85.97,58.39
Sekadau,85.05,58.16
Melawi,86.76,57.31
Kayong Utara,84.19,46.17
Kubu Raya,83.53,51.18
Kota Pontianak,76.43,47.84
Kota Singkawang,78.49,49.68
KALIMANTAN TENGAH,84.7,51.12
Kotawaringin Barat,86.46,51.39
Kotawaringin Timur,84.42,46.59
Kapuas,85.89,53.98
Barito Selatan,83.13,43.1
Barito Utara,86.35,53.15
Sukamara,85.04,56.69
Lamandau,88.06,50.05
Seruyan,87.48,52.66
Katingan,84.11,42.25
Pulang Pisau,87.72,57.81
Gunung Mas,85.77,51.41
Barito Timur,85.36,71.18
Murung Raya,86.37,47.14
Kota Palangka Raya,76.3,49.9
KALIMANTAN SELATAN,83.55,54.72
Tanah Laut,88.32,55.31
Kotabaru,87.03,46.04
Banjar,81.96,59.38
Barito Kuala,90.47,60.59
Tapin,86.23,54.42
Hulu Sungai Selatan,81.02,57.82
Hulu Sungai Tengah,82.96,57.8
Hulu Sungai Utara,82.72,60.9
Tabalong,83.01,59.82
Tanah Bumbu,85.91,48.79
Balangan,85.31,65.55
Kota Banjarmasin,78.61,48.11
Kota Banjar Baru,79.4,51.83
KALIMANTAN TIMUR,81.35,48.2
Paser,82.63,45.85
Kutai Barat,86.52,57.03
Kutai Kartanegara,82.14,44.97
Kutai Timur,85.32,47.19
Berau,82.8,45.23
Penajam Paser Utara,82.27,50.16
Mahakam Ulu,83.9,64.46
Kota Balikpapan,78.6,49.53
Kota Samarinda,78.84,49.12
Kota Bontang,81.45,50.42
KALIMANTAN UTARA,81.75,48.44
Malinau,84.8,55.75
Bulungan,82.19,53.04
Tana Tidung,80.8,50.63
Nunukan,82.62,46.53
Kota Tarakan,79.96,45.12
SULAWESI UTARA,78.98,44.72
Bolaang Mongondow,83.23,39.24
Minahasa,75.32,42.85
Kepulauan Sangihe,75.46,51.68
Kepulauan Talaud,87.66,70.45
Minahasa Selatan,78.62,46.44
Minahasa Utara,78.46,45.07
Bolaang Mongondow Utara,81.57,46.5
Siau Tagulandang Biaro,81.08,45.82
Minahasa Tenggara,82,46.26
Bolaang Mongondow Selatan,78.89,36.79
Bolaang Mongondow Timur,85.33,41.82
Kota Manado,77.29,41.08
Kota Bitung,79.28,44.52
Kota Tomohon,72.39,43.49
Kota Kotamobagu,81.77,47.29
SULAWESI TENGAH,84.78,52.17
Banggai Kepulauan,83.69,60.37
Banggai,87.19,55.95
Morowali,80.66,46.44
Poso,87.93,58.2
Donggala,86.67,47.58
Toli-Toli,83.35,44.23
Buol,86.3,47.81
Parigi Moutong,86.38,50.58
Tojo Una-Una,88.57,60.5
Sigi,87.14,53.71
Banggai Laut,81.01,42.01
Morowali Utara,84.83,50.65
Kota Palu,76.61,53.67
SULAWESI SELATAN,81.03,49.42
Kepulauan Selayar,81.77,57.65
Bulukumba,81.83,51.23
Bantaeng,87.13,62.54
Jeneponto,83.13,52.97
Takalar,83.99,49.47
Gowa,84.13,54.34
Sinjai,85.72,59.27
Maros,80.88,39.64
Pangkajene dan Kepulauan,84.05,46.55
Barru,77.53,40.81
Bone,84.84,48.78
Soppeng,80.69,40.23
Wajo,85.69,45.78
Sidenreng Rappang,80.77,38.15
Pinrang,80.95,36.44
Enrekang,85.22,60.04
Luwu,80.98,48.28
Tana Toraja,80.8,75.11
Luwu Utara,78.3,47.66
Luwu Timur,86,59.21
Toraja Utara,75.18,67.91
Kota Makasar,74.6,45.22
Kota Parepare,80.16,54.37
Kota Palopo,74.46,46.35
SULAWESI TENGGARA,84.08,56.27
Buton,76.32,53.02
Muna,78.08,56.67
Konawe,85.89,53.4
Kolaka,85.58,53.51
Konawe Selatan,87.8,55.73
Bombana,88.57,56.65
Wakatobi,83.81,59.05
Kolaka Utara,92.13,66.81
Buton Utara,86.33,65.07
Konawe Utara,86.03,53.38
Kolaka Timur,88.82,59.69
Konawe Kepulauan,83.9,57.79
Muna Barat,82.94,62.16
Buton Tengah,74.85,54.53
Buton Selatan,88.44,59.9
Kota Kendari,79.18,51.44
Kota Baubau,80.24,58.43
GORONTALO,81.6,50.41
Boalemo,82.8,48.01
Gorontalo,80.86,49.58
Pohuwato,87.92,51.7
Bone Bolango,80.99,49.46
Gorontalo Utara,86.34,50.31
Kota Gorontalo,75.35,53.28
SULAWESI BARAT,86.1,54.38
Majene,80.23,51.55
Polewali Mandar,83.91,55.09
Mamasa,86.97,73.39
Mamuju,87.28,52.38
Mamuju Utara / Pasangkayu,89.26,46.32
Mamuju Tengah,92.03,47.41
MALUKU,77.66,53.71
Maluku Tenggara Barat / Kepulauan Tanimbar,79.28,58.64
Maluku Tenggara,74.7,55.17
Maluku Tengah,74.46,50.55
Buru,86.39,54.36
Kepulauan Aru,77.08,53.4
Seram Bagian Barat,84.39,59.47
Seram Bagian Timur,78.83,58.89
Maluku Barat Daya,87.96,65.32
Buru Selatan,85.14,65.28
Kota Ambon,73.91,49.37
Kota Tual,71.73,50
MALUKU UTARA,81.22,47.57
Halmahera Barat,82.85,46.25
Halmahera Tengah,82.28,42.88
Kepulauan Sula,79.72,47.83
Halmahera Selatan,84.95,52.24
Halmahera Utara,80.4,47.67
Halmahera Timur,84.85,42.12
Pulau Morotai,82.71,51.89
Pulau Taliabu,87.57,49.83
Kota Ternate,74.9,43.88
Kota Tidore Kepulauan,81.41,51.04
PAPUA BARAT,80.53,58.78
Fakfak,83.44,58.03
Kaimana,82.67,67.12
Teluk Wondama,82.43,65.98
Teluk Bintuni,76.73,55.07
Manokwari,83.09,58.05
Sorong Selatan,87.12,72.38
Sorong,81.65,54.14
Raja Ampat,78.43,52.49
Tambrauw,84.62,65.94
Maybrat,84.83,78.19
Manokwari Selatan,89.22,79.61
Pegunungan Arfak,95.35,94.05
Kota Sorong,73.7,47.92
PAPUA BARAT DAYA,-,-
Raja Ampat,-,-
Sorong,-,-
Sorong Selatan,-,-
Maybrat,-,-
Tambrauw,-,-
Kota Sorong,-,-
PAPUA,86.41,69.1
Merauke,82.92,57.35
Jayawijaya,89.66,78.16
Jayapura,80.38,53.91
Nabire,85.67,58.33
Kepulauan Yapen,74.01,53.51
Biak Numfor,78.44,60.02
Paniai,90.27,88.07
Puncak Jaya,95.52,86.53
Mimika,84.12,38.09
Boven Digoel,89.88,67.25
Mappi,78.7,43.58
Asmat,89.4,72.72
Yahukimo,93.93,76.23
Pegunungan Bintang,90.72,84.64
Tolikara,91.52,89.57
Sarmi,79.92,55.12
Keerom,87.51,64.04
Waropen,80.48,30.71
Supiori,77.48,59.42
Mamberamo Raya,90.84,41.91
Nduga,97.05,99
Lanny Jaya,93.92,97.71
Mamberamo Tengah,95.56,96.17
Yalimo,93.58,93.8
Puncak,91.25,87.4
Dogiyai,84.39,72.18
Intan Jaya,84.46,67.01
Deiyai,90.8,78.86
Kota Jayapura,75.02,50.7
PAPUA SELATAN,-,-
Merauke,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
PAPUA TENGAH,-,-
Mimika,-,-
Dogiyai,-,-
Deiyai,-,-
Nabire,-,-
Paniai,-,-
Intan Jaya,-,-
Puncak,-,-
Puncak Jaya,-,-
PAPUA PEGUNUNGAN,-,-
Nduga,-,-
Jayawijaya,-,-
Lanny Jaya,-,-
Tolikara,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
INDONESIA,82.27,53.34
