Provinsi/Kabupaten/Kota/Indonesia,,
,Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin,
,Laki-laki,Perempuan
,2025,2025
ACEH,80.68,50.01
Simeulue,82.15,58.12
Aceh Singkil,70.54,44.68
Aceh Selatan,83.12,35.64
Aceh Tenggara,77.82,63.82
Aceh Timur,81.01,41.37
Aceh Tengah,85.7,69.33
Aceh Barat,74.28,47
Aceh Besar,79.24,54.62
Pidie,76.98,49.32
Bireuen,82,53.61
Aceh Utara,80.03,39.39
Aceh Barat Daya,75.66,45.89
Gayo Lues,84.03,72.79
Aceh Tamiang,85.04,54.24
Nagan Raya,87.38,40.97
Aceh Jaya,85.51,55.84
Bener Meriah,88.73,77.29
Pidie Jaya,78.31,42.72
Kota Banda Aceh,79.61,50.48
Kota Sabang,79.87,56.02
Kota Langsa,80.2,40.66
Kota Lhokseumawe,79.61,49.98
Kota Subulussalam,85.84,49.8
SUMATERA UTARA,84.85,59.8
Nias,79.78,75.15
Mandailing Natal,83.18,60.08
Tapanuli Selatan,85.04,65.6
Tapanuli Tengah,85.66,69.27
Tapanuli Utara,85.1,80.74
Toba Samosir / Toba,84.2,72.5
Labuhan Batu,85.06,46.87
Asahan,85.05,52.98
Simalungun,88.81,60.16
Dairi,87.85,78.66
Karo,88.73,83.42
Deli Serdang,84.86,55.45
Langkat,88.04,53.45
Nias Selatan,85.04,72.48
Humbang Hasundutan,91.56,82.48
Pakpak Bharat,90.62,83.89
Samosir,86.67,82.94
Serdang Bedagai,89.69,56.01
Batu Bara,85.13,55.57
Padang Lawas Utara,87.36,64.58
Padang Lawas,90.35,67.43
Labuhan Batu Selatan,86.77,51.87
Labuhan Batu Utara,89.69,56.79
Nias Utara,83.43,74.56
Nias Barat,86.79,78.8
Kota Sibolga,82.71,55.47
Kota Tanjung Balai,86.16,59.59
Kota Pematang Siantar,83.67,64.19
Kota Tebing Tinggi,87.58,56.51
Kota Medan,78.86,52.79
Kota Binjai,76.87,53.09
Kota Padangsidimpuan,80.47,58.78
Kota Gunungsitoli,77.64,65.12
SUMATERA BARAT,83.21,59.4
Kepulauan Mentawai,85.58,78.83
Pesisir Selatan,86.72,54.08
Solok,87.3,66.95
Sijunjung,87.16,63.33
Tanah Datar,84.45,61.11
Padang Pariaman,81.28,53.44
Agam,80.91,58.08
Lima Puluh Kota,85.1,63.31
Pasaman,85.08,60.13
Solok Selatan,88.84,66.79
Dharmasraya,89.35,59.4
Pasaman Barat,80.3,55.61
Kota Padang,78.17,56.45
Kota Solok,81.89,58.72
Kota Sawah Lunto,83.1,64.9
Kota Padang Panjang,77.84,60.59
Kota Bukittinggi,81.99,58.85
Kota Payakumbuh,81.38,62.51
Kota Pariaman,82.54,63.28
RIAU,84.68,47.68
Kuantan Singingi,84.77,47.33
Indragiri Hulu,87.12,46.23
