Provinsi/Kabupaten/Kota/Indonesia,,
,Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin,
Indragiri Hilir,84.8,43.41
Pelalawan,88.39,51.11
Siak,85.44,43.93
Kampar,84.08,43.73
Rokan Hulu,85.27,45.67
Bengkalis,84.68,50.12
Rokan Hilir,85.58,41.64
Kepulauan Meranti,82.32,55.69
Kota Pekanbaru,81.55,55.63
Kota Dumai,84.89,52.02
JAMBI,85.6,50.63
Kerinci,83.66,65.84
Merangin,86.85,49.91
Sarolangun,88.51,45.73
Batang Hari,84.3,47.94
Muaro Jambi,88.99,57.83
Tanjung Jabung Timur,85.29,51.91
Tanjung Jabung Barat,87.12,37.75
Tebo,87.8,43.11
Bungo,87.68,51.7
Kota Jambi,80.38,51.88
Kota Sungai Penuh,80.55,57.45
SUMATERA SELATAN,84.82,54.46
Ogan Komering Ulu,84.33,58.52
Ogan Komering Ilir,84.24,46.56
Muara Enim,85.61,54.07
Lahat,86.25,54.54
Musi Rawas,87.39,55.97
Musi Banyuasin,86,55.29
Banyu Asin,84.97,44.42
Ogan Komering Ulu Selatan,88.86,58.85
Ogan Komering Ulu Timur,90.1,65.67
Ogan Ilir,89.42,63.06
Empat Lawang,87.71,66.72
Penukal Abab Lematang Ilir,88.1,64.29
Musi Rawas Utara,85.1,55.67
Kota Palembang,78.07,48.09
Kota Prabumulih,82.64,56.72
Kota Pagar Alam,88.81,68.74
Kota Lubuklinggau,82.6,60.69
BENGKULU,84.84,58.17
Bengkulu Selatan,82.73,62.93
Rejang Lebong,85.83,66.28
Bengkulu Utara,85.29,53.26
Kaur,83.88,62.84
Seluma,88.1,57.88
Mukomuko,89.85,44.47
Lebong,86.41,64.57
Kepahiang,88.24,70.48
Bengkulu Tengah,87.99,47.63
Kota Bengkulu,77.74,55.65
LAMPUNG,86.4,53.85
Lampung Barat,90.99,68.26
Tanggamus,85.71,52.93
Lampung Selatan,87.55,48.78
Lampung Timur,84.12,50.78
Lampung Tengah,89.63,61.26
Lampung Utara,83.97,50.27
Way Kanan,89.69,54.21
Tulangbawang,88.58,48.35
Pesawaran,85.95,50.04
Pringsewu,87.24,55.37
Mesuji,89.88,49.84
Tulang Bawang Barat,89.66,53.68
Pesisir Barat,84.34,63.28
Kota Bandar Lampung,81.01,52.8
Kota Metro,82.85,56.79
KEP. BANGKA BELITUNG,85.86,52.02
Bangka,84.59,50.29
Belitung,85.09,52.76
Bangka Barat,87.07,54.38
Bangka Tengah,87.43,51.9
Bangka Selatan,91.02,51.33
Belitung Timur,86.98,49.97
Kota Pangkal Pinang,80.29,53.71
KEPULAUAN RIAU,83.94,52.12
Karimun,82.54,50.26
Bintan,84.01,50.62
Natuna,80.16,61.02
Lingga,83.03,47.85
Kepulauan Anambas,79.9,55.41
Kota Batam,85.35,51.93
Kota Tanjung Pinang,80.67,54.26
DKI JAKARTA,79.66,49.94
Kep. Seribu,84.25,59.94
Kota Jakarta Selatan,78.91,50.38
Kota Jakarta Timur,78.91,49.48
Kota Jakarta Pusat,79.65,50.65
Kota Jakarta Barat,79.24,48.2
Kota Jakarta Utara,82.39,52.05
JAWA BARAT,84.41,49.27
Bogor,86.12,42.13
Sukabumi,87.29,51.81
Cianjur,86.16,50.8
Bandung,83.07,50.44
Garut,84.78,51.07
Tasikmalaya,83.08,55.13
Ciamis,83.31,49.24
Kuningan,86.65,51.73
Cirebon,83.44,54.9
Majalengka,85.96,59.23
Sumedang,84.93,45.72
Indramayu,85.09,45.14
Subang,85.59,52.44
Purwakarta,84.84,47.28
Karawang,86.05,43.99
Bekasi,85.4,42.93
Bandung Barat,86.74,53.84
Pangandaran,90.46,67.98
Kota Bogor,80.41,49.7
Kota Sukabumi,81.84,49.7
Kota Bandung,84.43,51.9
Kota Cirebon,81.05,57.05
Kota Bekasi,79.52,48.73
Kota Depok,78.63,45.36
Kota Cimahi,81.87,52.13
Kota Tasikmalaya,81.18,51.18
Kota Banjar,85.74,54.04
JAWA TENGAH,85.36,63.37
Cilacap,83.27,50.02
Banyumas,82.95,56.79
Purbalingga,87.27,63.23
Banjarnegara,86.44,61.1
Kebumen,85.74,66.41
Purworejo,85.83,64.2
Wonosobo,87.84,63.25
Magelang,86.15,70.08
Boyolali,87.96,66.37
Klaten,84.06,67.43
Sukoharjo,80.14,59.99
Wonogiri,88.03,69.43
Karanganyar,84.76,65.06
Sragen,84.95,65.03
Grobogan,87.53,67.69
Blora,87.52,67.85
Rembang,87.76,64.17
Pati,86.65,67.66
Kudus,84.84,66.78
Jepara,83.5,63.47
Demak,85.59,60.41
Semarang,88.76,71.16
Temanggung,86.36,69.2
Kendal,88.03,64.8
Batang,89.61,65.95
Pekalongan,86.1,68.2
Pemalang,85.79,57.88
Tegal,83.37,60.44
Brebes,85.95,57.54
Kota Magelang,76.1,59.5
Kota Surakarta,79.94,61.86
Kota Salatiga,79.93,62.3
Kota Semarang,81.61,63.95
Kota Pekalongan,85.19,65.38
Kota Tegal,79.48,58.06
D I YOGYAKARTA,83.9,65.91
Kulon Progo,85.35,71.81
Bantul,84.39,65.53
Gunung Kidul,86.88,67.49
Sleman,82.62,63.64
Kota Yogyakarta,78.77,63.85
JAWA TIMUR,85.89,62.29
Pacitan,88.06,73.55
Ponorogo,86.69,73.26
Trenggalek,86.61,68.78
Tulungagung,86.54,63.02
Blitar,86.12,65.5
Kediri,85.58,53.55
Malang,87.96,59.74
Lumajang,87.03,52.95
Jember,88.61,63.21
Banyuwangi,86.41,61.23
Bondowoso,89.22,65.84
Situbondo,89.09,68.47
Probolinggo,88.85,65.13
Pasuruan,86.55,63.05
Sidoarjo,83.56,55.53
Mojokerto,82.46,66.03
Jombang,86.43,58.77
Nganjuk,85.95,60.43
Madiun,83.72,64.57
Magetan,84.78,65.11
Ngawi,85.84,63.74
Bojonegoro,88.28,69
Tuban,87.22,58.73
Lamongan,87.05,62.65
Gresik,83.38,52.54
Bangkalan,82.85,55.6
Sampang,88.21,67.01
Pamekasan,87.66,72.44
Sumenep,87.68,72.94
Kota Kediri,81.42,59.93
Kota Blitar,84.84,67.37
Kota Malang,79.35,60.62
Kota Probolinggo,81.29,55.97
Kota Pasuruan,84.65,66.72
Kota Mojokerto,82.48,57.92
Kota Madiun,80.39,62.59
Kota Surabaya,81.42,60.16
Kota Batu,88.45,72.57
BANTEN,81.96,46.87
Pandeglang,83.52,39.41
Lebak,81.86,45.78
Tangerang,83.64,48.27
Serang,84.63,49.66
Kota Tangerang,79.78,48.7
Kota Cilegon,78.92,43.31
Kota Serang,82.16,52.51
Kota Tangerang Selatan,77.24,43.93
BALI,83.84,70.84
Jembrana,84.35,73.09
Tabanan,83.67,70.28
Badung,81.56,67.71
Gianyar,81.49,70.13
Klungkung,83.5,73.83
Bangli,86.96,76.48
Karangasem,88.92,80.53
Buleleng,86.57,73.06
Kota Denpasar,80.08,61.74
NUSA TENGGARA BARAT,86.55,65.69
Lombok Barat,84.82,63.97
Lombok Tengah,88.38,68.4
Lombok Timur,88.98,67.8
Sumbawa,86.87,59.55
Dompu,87.62,69.73
Bima,85.48,66.21
Sumbawa Barat,84.06,62.32
Lombok Utara,86.8,66.78
Kota Mataram,79.91,62.06
Kota Bima,81.65,61.94
NUSA TENGGARA TIMUR,82.52,68.68
Sumba Barat,81.77,71.91
Sumba Timur,80.64,70.11
Kupang,83.45,58.15
Timor Tengah Selatan,85.19,77.3
Timor Tengah Utara,78.89,71.3
Belu,86.69,66.82
Alor,80.98,76.72
Lembata,80.71,73.82
Flores Timur,79.53,61
Sikka,80.6,64.2
Ende,76.7,67.46
Ngada,82.01,72.91
Manggarai,84.37,72.86
Rote Ndao,79.64,61.6
Manggarai Barat,81.88,62.34
Sumba Tengah,84.98,69.33
Sumba Barat Daya,86.66,77.88
Nagekeo,81.02,62.39
Manggarai Timur,87.85,78.83
Sabu Raijua,79.73,70.37
Malaka,87.83,82.07
Kota Kupang,80.87,55.76
KALIMANTAN BARAT,85.32,55.7
Sambas,84.35,61.45
Bengkayang,89.05,66.12
Landak,86.21,57.34
Mempawah,87.71,54.07
Sanggau,85.57,62.67
Ketapang,86.29,47.68
Sintang,89.18,57.8
Kapuas Hulu,87.32,60.38
Sekadau,90.9,63.76
Melawi,87.52,60.81
Kayong Utara,86.23,48.28
Kubu Raya,86.02,51.51
Kota Pontianak,76.25,47.5
Kota Singkawang,81.17,49.96
KALIMANTAN TENGAH,85.26,50.34
Kotawaringin Barat,86.56,51.44
Kotawaringin Timur,86.65,39.84
Kapuas,83.09,51.82
Barito Selatan,82.03,48.32
Barito Utara,86.41,59.61
Sukamara,85.85,52.84
Lamandau,88.94,52.75
Seruyan,87.12,48.75
Katingan,86.93,47.87
Pulang Pisau,88.79,57.96
Gunung Mas,87.81,44.89
Barito Timur,84.96,69.2
Murung Raya,82.86,50.14
Kota Palangka Raya,80.56,51.11
KALIMANTAN SELATAN,84.48,55.18
Tanah Laut,88.59,54.61
Kotabaru,85.17,44.26
Banjar,83.7,55.62
Barito Kuala,86.49,57.18
Tapin,84.59,56.47
Hulu Sungai Selatan,82.3,59.65
Hulu Sungai Tengah,84.05,62.56
Hulu Sungai Utara,83.22,58.68
Tabalong,85.16,56.63
Tanah Bumbu,86.96,51.96
Balangan,83.98,66.1
Kota Banjarmasin,81.71,51.64
Kota Banjar Baru,83.92,56.17
KALIMANTAN TIMUR,83.14,48.72
Paser,85.11,41.43
Kutai Barat,85.16,56.76
Kutai Kartanegara,84.69,44.38
Kutai Timur,83.53,46.27
Berau,85.51,56.66
Penajam Paser Utara,85.57,57.34
Mahakam Ulu,87.64,66.25
Kota Balikpapan,81.81,50.66
Kota Samarinda,79.99,46.7
Kota Bontang,82.95,54.37
KALIMANTAN UTARA,84.95,52.26
Malinau,87.63,63.74
Bulungan,86.78,57.08
Tana Tidung,85.82,59.71
Nunukan,87.93,54.32
Kota Tarakan,80.06,42.97
SULAWESI UTARA,83.26,50.51
Bolaang Mongondow,87.6,54.19
Minahasa,80.13,48.9
Kepulauan Sangihe,81.25,54.52
Kepulauan Talaud,80.98,50.82
Minahasa Selatan,84.39,49.98
Minahasa Utara,84.92,49.55
Bolaang Mongondow Utara,87.14,56.62
Siau Tagulandang Biaro,81.11,62.19
Minahasa Tenggara,88.19,50.74
Bolaang Mongondow Selatan,88.5,48.74
Bolaang Mongondow Timur,84.94,33.57
Kota Manado,79.4,49.99
Kota Bitung,84.3,46.64
Kota Tomohon,79.58,49.15
Kota Kotamobagu,86.45,57.59
SULAWESI TENGAH,86.02,58.05
Banggai Kepulauan,84.88,61.61
Banggai,89.45,59.54
Morowali,88.29,36.95
Poso,85.03,55.5
Donggala,86.24,52.51
Toli-Toli,85.67,51.65
Buol,87.34,56.55
Parigi Moutong,87.17,65.44
Tojo Una-Una,86.97,62.19
Sigi,87.92,63.64
Banggai Laut,81.64,55.34
Morowali Utara,86.28,52.88
Kota Palu,79.56,61.63
SULAWESI SELATAN,82.8,52.95
Kepulauan Selayar,81.95,53.73
Bulukumba,87.28,63.86
Bantaeng,87.65,65.27
Jeneponto,86.64,57.49
Takalar,86.89,53.63
Gowa,85.81,51.22
Sinjai,88.05,71.15
Maros,81.77,51.65
Pangkajene dan Kepulauan,83.69,54.52
Barru,82.14,46.79
Bone,83,46.99
Soppeng,77.76,44.92
Wajo,82.58,53.05
Sidenreng Rappang,79.91,37.03
Pinrang,81.48,44.86
Enrekang,86.2,68.24
Luwu,83.59,51.72
Tana Toraja,81.9,71.59
Luwu Utara,86.34,60.12
Luwu Timur,84.76,55.05
Toraja Utara,81.59,69.03
Kota Makasar,77.5,44.26
Kota Parepare,78.93,55.67
Kota Palopo,78.79,54.67
SULAWESI TENGGARA,83.56,59.49
Buton,76.62,48.19
Muna,76.92,62.1
Konawe,88.95,63.8
Kolaka,89.12,62.44
Konawe Selatan,85.96,54.61
Bombana,86.25,56.51
Wakatobi,82,65.52
Kolaka Utara,89.13,67.93
Buton Utara,88.93,74.87
Konawe Utara,85.83,59.06
Kolaka Timur,90.05,59.76
Konawe Kepulauan,89.34,64.55
Muna Barat,86.56,64.13
Buton Tengah,74,58.57
Buton Selatan,80.59,59.81
Kota Kendari,78.3,54.64
Kota Baubau,76.91,54.54
GORONTALO,85.3,53.12
Boalemo,88.48,60.12
Gorontalo,83.7,51.47
Pohuwato,88.09,54.72
Bone Bolango,85.78,48.2
Gorontalo Utara,90.26,58.44
Kota Gorontalo,80.39,50.95
SULAWESI BARAT,87.47,60.68
Majene,82.87,53.64
Polewali Mandar,86.71,59.76
Mamasa,87.4,75.9
Mamuju,86.52,67.45
Mamuju Utara / Pasangkayu,91.99,54.11
Mamuju Tengah,91.11,49.77
MALUKU,77.45,55.71
Maluku Tenggara Barat / Kepulauan Tanimbar,68.7,57.57
Maluku Tenggara,74.31,59.76
Maluku Tengah,75.1,57.23
Buru,89.29,55.58
Kepulauan Aru,81.67,40.48
Seram Bagian Barat,81.86,59.21
Seram Bagian Timur,72.76,50.66
Maluku Barat Daya,80.51,61.16
Buru Selatan,82.95,61.2
Kota Ambon,76.14,56.45
Kota Tual,76.7,44.74
MALUKU UTARA,83.85,54.29
Halmahera Barat,76.72,62.43
Halmahera Tengah,90.62,49.83
Kepulauan Sula,80.95,46.61
Halmahera Selatan,85.86,63.67
Halmahera Utara,87.35,54.12
Halmahera Timur,87.02,51.62
Pulau Morotai,84.04,49.31
Pulau Taliabu,83.69,46.74
Kota Ternate,79.19,48.46
Kota Tidore Kepulauan,86.32,53.16
PAPUA BARAT,80.03,57.73
Fakfak,75.82,49.99
Kaimana,73.42,56.44
Teluk Wondama,74.76,57.55
Teluk Bintuni,83.31,55.12
Manokwari,80.79,54.07
Sorong Selatan,-,-
Sorong,-,-
Raja Ampat,-,-
Tambrauw,-,-
Maybrat,-,-
Manokwari Selatan,81.87,65.19
Pegunungan Arfak,90.22,89.32
Kota Sorong,-,-
PAPUA BARAT DAYA,80.35,54.63
Raja Ampat,79,49.23
Sorong,84.28,54.64
Sorong Selatan,76.61,61.12
Maybrat,83.94,77.06
Tambrauw,86.09,73.24
Kota Sorong,78.61,49.02
PAPUA,75.97,50.54
Merauke,-,-
Jayawijaya,-,-
Jayapura,77.66,50.87
Nabire,-,-
Kepulauan Yapen,70.09,40.95
Biak Numfor,81.3,66.05
Paniai,-,-
Puncak Jaya,-,-
Mimika,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
Tolikara,-,-
Sarmi,80.36,63.94
Keerom,87.71,68.69
Waropen,76.36,52.94
Supiori,66.74,47.44
Mamberamo Raya,65.7,28.98
Nduga,-,-
Lanny Jaya,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Puncak,-,-
Dogiyai,-,-
Intan Jaya,-,-
Deiyai,-,-
Kota Jayapura,74.5,46
PAPUA SELATAN,78.24,55.32
Merauke,79.57,52.08
Boven Digoel,78.87,51.09
Mappi,74.54,55.56
Asmat,78.42,65.43
PAPUA TENGAH,80.58,66.09
Mimika,84.56,47.77
Dogiyai,93.77,81.19
Deiyai,71.87,68.39
Nabire,82.98,52.37
Paniai,72.62,62.8
Intan Jaya,60.23,53.43
Puncak,93.06,91.58
Puncak Jaya,84.94,84
PAPUA PEGUNUNGAN,92.87,88.08
Nduga,92.79,93.39
Jayawijaya,85.11,69.73
Lanny Jaya,96.71,95.91
Tolikara,94.68,93.26
Mamberamo Tengah,89.73,82.94
Yalimo,91.13,90.72
Yahukimo,96.01,91.82
Pegunungan Bintang,90.44,89.32
INDONESIA,84.4,56.63
