Provinsi/Kabupaten/Kota/Indonesia,,
,Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin,
,Laki-laki,Perempuan
,2020,2020
ACEH,81.47,48.94
Simeulue,83.29,56.79
Aceh Singkil,82.36,41.2
Aceh Selatan,79.75,44.13
Aceh Tenggara,81,61.98
Aceh Timur,83.39,40.78
Aceh Tengah,89.15,70.5
Aceh Barat,80.02,38.13
Aceh Besar,77.46,41.63
Pidie,78.98,53.36
Bireuen,82.12,53.06
Aceh Utara,77.79,43.55
Aceh Barat Daya,81.05,34.91
Gayo Lues,93.75,79.24
Aceh Tamiang,82.81,46.58
Nagan Raya,87.59,45.18
Aceh Jaya,89.43,59.57
Bener Meriah,93.6,70.93
Pidie Jaya,79.27,46.25
Kota Banda Aceh,75.95,45.97
Kota Sabang,86.06,56.75
Kota Langsa,80.99,52.56
Kota Lhokseumawe,79.61,47.1
Kota Subulussalam,83.54,44
SUMATERA UTARA,81.41,56.15
Nias,85.5,77.21
Mandailing Natal,72.58,59.73
Tapanuli Selatan,87.15,70.31
Tapanuli Tengah,76.28,65.57
Tapanuli Utara,85.35,79.18
Toba Samosir / Toba,86.9,75.8
Labuhan Batu,82.11,47.32
Asahan,79.25,39.9
Simalungun,85.28,58.67
Dairi,62.87,77.36
Karo,89.28,78.75
Deli Serdang,83.08,51.26
Langkat,85.02,54.66
Nias Selatan,84.81,69.82
Humbang Hasundutan,87.7,86.58
Pakpak Bharat,94.55,83.33
Samosir,46.51,57.67
Serdang Bedagai,85.52,54.15
Batu Bara,87.77,50.3
Padang Lawas Utara,69.02,63.1
Padang Lawas,88.07,65.84
Labuhan Batu Selatan,78,43.1
Labuhan Batu Utara,84.91,50.89
Nias Utara,78.97,68.79
Nias Barat,51.2,52.38
Kota Sibolga,83.22,57.53
Kota Tanjung Balai,84.77,46.7
Kota Pematang Siantar,77.93,63.49
Kota Tebing Tinggi,83.04,56
Kota Medan,78.79,49.04
Kota Binjai,82.26,48.25
Kota Padangsidimpuan,81.2,65.87
Kota Gunungsitoli,75.08,51.59
SUMATERA BARAT,82.08,56.24
Kepulauan Mentawai,88.35,74.03
Pesisir Selatan,81.38,49.19
Solok,84.58,65.08
Sijunjung,85.3,56.21
Tanah Datar,81.49,58.2
Padang Pariaman,83.44,51.88
Agam,82.62,58.66
Lima Puluh Kota,84.78,61.08
Pasaman,84.07,62.2
Solok Selatan,85.64,59.42
Dharmasraya,85.67,58.56
Pasaman Barat,83.28,51.31
Kota Padang,77.39,51.35
Kota Solok,79.65,54.3
Kota Sawah Lunto,81.89,59.5
Kota Padang Panjang,79.51,60.39
Kota Bukittinggi,79.96,60.51
Kota Payakumbuh,79.16,58.44
Kota Pariaman,76.97,52.09
RIAU,83.25,46.4
Kuantan Singingi,85.99,49.99
Indragiri Hulu,86.19,49.82
Indragiri Hilir,86.6,50.82
Pelalawan,87.86,47.14
Siak,83.22,41.09
Kampar,84.11,42.64
Rokan Hulu,82.41,47.21
Bengkalis,82.63,48.64
Rokan Hilir,80.6,31.36
Kepulauan Meranti,84,51.94
Kota Pekanbaru,79.18,50.84
Kota Dumai,82.49,51.09
JAMBI,84.96,50.04
Kerinci,82.9,56.48
Merangin,87.58,51.96
Sarolangun,85.68,51.14
Batang Hari,85.49,47.82
Muaro Jambi,84.31,37.41
Tanjung Jabung Timur,87.01,60.48
Tanjung Jabung Barat,89.09,59.46
Tebo,88.67,52.55
Bungo,83.95,45.12
Kota Jambi,79.89,48.49
Kota Sungai Penuh,81.89,50.93
SUMATERA SELATAN,82.71,54.25
Ogan Komering Ulu,85.15,55.2
Ogan Komering Ilir,76.91,53.05
Muara Enim,80.99,55.63
Lahat,85.08,58
Musi Rawas,89.33,53.45
Musi Banyuasin,86.84,53.64
Banyu Asin,85.65,41.7
Ogan Komering Ulu Selatan,80.67,61.11
Ogan Komering Ulu Timur,86.71,56.08
Ogan Ilir,80.51,59.7
Empat Lawang,84.47,66.89
Penukal Abab Lematang Ilir,85.79,69.8
Musi Rawas Utara,85.89,57.8
Kota Palembang,79.58,51.53
Kota Prabumulih,82.44,56.41
Kota Pagar Alam,71.2,61.26
Kota Lubuklinggau,84.85,55.8
BENGKULU,85.22,57.71
Bengkulu Selatan,82.68,57.51
Rejang Lebong,87.6,68.05
Bengkulu Utara,87.56,55.54
Kaur,81.69,56.47
Seluma,88.19,63.98
Mukomuko,87.19,42.13
Lebong,87.37,60.84
Kepahiang,87.35,70.21
Bengkulu Tengah,87.35,51.13
Kota Bengkulu,79.16,52.84
LAMPUNG,85.41,54.13
Lampung Barat,92.52,73
Tanggamus,70.18,48.2
Lampung Selatan,86.45,49.71
Lampung Timur,87.79,56.18
Lampung Tengah,88.84,56.78
Lampung Utara,86.09,49.74
Way Kanan,90.14,58.93
Tulangbawang,87.38,50.74
Pesawaran,85.92,52.08
Pringsewu,85.42,51.18
Mesuji,89.27,49.76
Tulang Bawang Barat,86.81,55.59
Pesisir Barat,86.83,52.32
Kota Bandar Lampung,80.26,55.31
Kota Metro,82.1,56.16
KEP. BANGKA BELITUNG,84.07,48.47
Bangka,82.85,43.45
Belitung,84.94,52.73
Bangka Barat,82.93,47.14
Bangka Tengah,88.43,51.58
Bangka Selatan,86.01,50.44
Belitung Timur,88.27,53.09
Kota Pangkal Pinang,77.91,46.36
KEPULAUAN RIAU,82.86,48.93
Karimun,77.8,41.02
Bintan,82.39,38.36
Natuna,85.49,52.05
Lingga,84.12,44.24
Kepulauan Anambas,85.5,49.9
Kota Batam,84.25,51.69
Kota Tanjung Pinang,77.36,47.49
DKI JAKARTA,80.49,47.47
Kep. Seribu,78.72,42.62
Kota Jakarta Selatan,79.72,48.24
Kota Jakarta Timur,79.28,44.97
Kota Jakarta Pusat,78.03,49.92
Kota Jakarta Barat,82.34,46.45
Kota Jakarta Utara,81.98,50.67
JAWA BARAT,81.9,46.79
Bogor,80.75,43.62
Sukabumi,82.04,40.61
Cianjur,87.07,50.31
Bandung,79.77,44.19
Garut,79.95,42.16
Tasikmalaya,85.01,54.65
Ciamis,86.02,57.47
Kuningan,78.89,45.2
Cirebon,80.07,46.77
Majalengka,84.84,54.77
Sumedang,83.52,54.74
Indramayu,86.25,51.83
Subang,83.73,49.51
Purwakarta,82.06,39.05
Karawang,84.47,44.29
Bekasi,83.22,44.54
Bandung Barat,82.62,36.58
Pangandaran,90.08,63.85
Kota Bogor,78.35,42.87
Kota Sukabumi,72.75,38.39
Kota Bandung,79.41,49.82
Kota Cirebon,77.98,49.75
Kota Bekasi,79.64,49.71
Kota Depok,80.25,47.57
Kota Cimahi,79.02,46.19
Kota Tasikmalaya,81.59,51.47
Kota Banjar,79.58,55.65
JAWA TENGAH,81.68,57.54
Cilacap,83.21,52.45
Banyumas,81.78,51.74
Purbalingga,85.11,55.26
Banjarnegara,84.94,54.47
Kebumen,81.88,57.67
Purworejo,80.4,60.14
Wonosobo,83.97,58.18
Magelang,84.88,68.31
Boyolali,85.3,65.41
Klaten,80.74,56.59
Sukoharjo,79.81,57.99
Wonogiri,85.54,64.64
Karanganyar,84.05,63.42
Sragen,78.74,58.74
Grobogan,80.75,59.18
Blora,86.44,58.06
Rembang,79.46,51.17
Pati,76.74,52.02
Kudus,82.79,66.59
Jepara,83.4,56.66
Demak,83.53,56.52
Semarang,84.24,66.38
Temanggung,59.63,57.82
Kendal,82.04,58.64
Batang,86.48,53.24
Pekalongan,85.21,57.63
Pemalang,81.25,50.48
Tegal,82.24,51.25
Brebes,80.81,52.47
Kota Magelang,75.73,59.85
Kota Surakarta,79.37,59.04
Kota Salatiga,78.16,62.76
Kota Semarang,79.86,60.48
Kota Pekalongan,73.67,59.34
Kota Tegal,75.54,53.97
D I YOGYAKARTA,78.2,64.33
Kulon Progo,86.07,70.16
Bantul,84.26,64.93
Gunung Kidul,65.97,64.7
Sleman,78.32,62.66
Kota Yogyakarta,76.52,61.3
JAWA TIMUR,84.67,56.56
Pacitan,90.1,71.26
Ponorogo,83,60.17
Trenggalek,87.44,64.26
Tulungagung,85.37,61.79
Blitar,85.07,56.63
Kediri,85.35,55.95
Malang,86.99,56.13
Lumajang,84.49,50.49
Jember,86.65,50.3
Banyuwangi,87.12,56.8
Bondowoso,89.07,62.08
Situbondo,86.78,60.47
Probolinggo,88.89,57.94
Pasuruan,85.29,50.64
Sidoarjo,81.55,52.78
Mojokerto,86.11,53.64
Jombang,84.53,56.28
Nganjuk,82.61,49.27
Madiun,85.62,57.81
Magetan,83.24,63.91
Ngawi,84.9,61.19
