Provinsi/Kabupaten/Kota/Indonesia,,
,Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin,
Bojonegoro,88.03,61.65
Tuban,88.16,56.18
Lamongan,83.68,58.94
Gresik,84.85,48.82
Bangkalan,78.89,56.62
Sampang,81.76,59.06
Pamekasan,81.09,59.42
Sumenep,85.85,65.47
Kota Kediri,76.83,55.35
Kota Blitar,79.19,60.24
Kota Malang,78.21,55.1
Kota Probolinggo,82.22,56.47
Kota Pasuruan,82.62,57.94
Kota Mojokerto,80.98,56.11
Kota Madiun,78.8,59.35
Kota Surabaya,81.23,55.35
Kota Batu,84.73,59.75
BANTEN,81.7,46.62
Pandeglang,79.99,39.84
Lebak,86,53.16
Tangerang,82.9,47.14
Serang,81.8,44.78
Kota Tangerang,80.79,48.45
Kota Cilegon,80.32,42.44
Kota Serang,81.41,45.24
Kota Tangerang Selatan,78.71,46.14
BALI,80.75,67.86
Jembrana,83.12,68.94
Tabanan,81.26,69.84
Badung,81.25,63.82
Gianyar,78.11,64.36
Klungkung,78.69,72.01
Bangli,86.22,78.11
Karangasem,83.23,78.31
Buleleng,80.87,69.4
Kota Denpasar,78.91,62.55
NUSA TENGGARA BARAT,82.94,58.66
Lombok Barat,81.93,54.38
Lombok Tengah,84.77,66.44
Lombok Timur,82.66,55.81
Sumbawa,83.93,53.03
Dompu,85.24,54.16
Bima,84.37,60.16
Sumbawa Barat,85.41,53.13
Lombok Utara,84.44,62.82
Kota Mataram,76.76,59.41
Kota Bima,83.47,65.22
NUSA TENGGARA TIMUR,82.64,63.91
Sumba Barat,79.69,61.75
Sumba Timur,81.16,62.46
Kupang,83.74,60.01
Timor Tengah Selatan,86.77,62.68
Timor Tengah Utara,85.66,70.85
Belu,82.71,57.79
Alor,80.82,70.17
Lembata,79.44,60.41
Flores Timur,81.99,63.02
Sikka,85.15,63.52
Ende,80.11,65.49
Ngada,80.76,62.86
Manggarai,84.28,69.23
Rote Ndao,83.71,61.99
Manggarai Barat,85.89,71.34
Sumba Tengah,85.34,53.39
Sumba Barat Daya,85.25,70.17
Nagekeo,82.36,58.9
Manggarai Timur,88.72,75.04
Sabu Raijua,80.84,68.97
Malaka,77.86,58.11
Kota Kupang,74,53.7
KALIMANTAN BARAT,83.35,53.86
Sambas,85.91,63.3
Bengkayang,87.25,63.29
Landak,84.09,58.32
Mempawah,80.17,47.82
Sanggau,86.07,53.6
Ketapang,82.99,36.94
Sintang,85.45,65.09
Kapuas Hulu,86.06,61.64
Sekadau,89.14,65.29
Melawi,86.45,60.87
Kayong Utara,83.57,46.72
Kubu Raya,83.57,51.59
Kota Pontianak,75.66,44.83
Kota Singkawang,77.02,50.19
KALIMANTAN TENGAH,84.67,50.57
Kotawaringin Barat,89.48,54.41
Kotawaringin Timur,86.04,46.47
Kapuas,85.79,53.67
Barito Selatan,81.61,47.09
Barito Utara,84.89,56.97
Sukamara,82.67,45.7
Lamandau,87.43,50.82
Seruyan,80.44,46.9
Katingan,83.15,43.65
Pulang Pisau,88.21,55.99
Gunung Mas,88.1,51.96
Barito Timur,84.82,70.29
Murung Raya,84.13,41.9
Kota Palangka Raya,78.03,46.86
KALIMANTAN SELATAN,82.91,55.5
Tanah Laut,87.94,55.2
Kotabaru,82.56,45.03
Banjar,82.85,61.93
Barito Kuala,88.98,60.37
Tapin,83.18,57.08
Hulu Sungai Selatan,84.64,61.98
Hulu Sungai Tengah,83.88,58.75
Hulu Sungai Utara,82.1,58.9
Tabalong,81.07,57.28
Tanah Bumbu,85.78,52.86
Balangan,85.48,67.45
Kota Banjarmasin,77.12,47.34
Kota Banjar Baru,79.72,53.27
KALIMANTAN TIMUR,81.52,47.96
Paser,83.94,49.69
Kutai Barat,83.79,56.69
Kutai Kartanegara,78.12,44.1
Kutai Timur,87.16,47.12
Berau,84.77,46.85
Penajam Paser Utara,85.87,50.72
Mahakam Ulu,85.41,65.55
Kota Balikpapan,80.32,44.86
Kota Samarinda,79.17,50.49
Kota Bontang,85.15,51.77
KALIMANTAN UTARA,82.91,47.62
Malinau,81.69,48.17
Bulungan,81.84,50.71
Tana Tidung,85,46.27
Nunukan,84.21,46.3
Kota Tarakan,82.61,47.01
SULAWESI UTARA,80.52,45.68
Bolaang Mongondow,84.67,41.42
Minahasa,79.04,44.92
Kepulauan Sangihe,79.3,49.74
Kepulauan Talaud,89.3,72.3
Minahasa Selatan,83.95,49.09
Minahasa Utara,76.39,46.48
Bolaang Mongondow Utara,81.88,46.91
Siau Tagulandang Biaro,83.04,47.84
Minahasa Tenggara,84.59,42.24
Bolaang Mongondow Selatan,84.65,40.21
Bolaang Mongondow Timur,86.26,44.91
Kota Manado,75.97,41.46
Kota Bitung,78.87,43.89
Kota Tomohon,75.02,44.23
Kota Kotamobagu,84.16,48.2
SULAWESI TENGAH,85.82,52.5
Banggai Kepulauan,85.83,60.22
Banggai,84.82,54.42
Morowali,81.12,47.84
Poso,87.11,61.58
Donggala,84.89,42.13
Toli-Toli,86.86,44.45
Buol,88.82,49.68
Parigi Moutong,89.05,55.21
Tojo Una-Una,87.82,62.27
Sigi,86.71,50.8
Banggai Laut,88.16,46.45
Morowali Utara,86.66,51.35
Kota Palu,80.34,52.71
SULAWESI SELATAN,79.66,48.16
Kepulauan Selayar,82.95,54.92
Bulukumba,83.56,54.97
Bantaeng,86.81,60.59
Jeneponto,85.74,53.44
Takalar,78.39,48.74
Gowa,84.18,51.83
Sinjai,85.39,55.68
Maros,82.45,43.63
Pangkajene dan Kepulauan,80.48,48.71
Barru,78.03,38.56
Bone,71.85,50.64
Soppeng,82.05,35.59
Wajo,86.33,47.88
Sidenreng Rappang,81.55,34.01
Pinrang,82.64,37.47
Enrekang,85.3,56.29
Luwu,79.89,43.11
Tana Toraja,75.5,70.94
Luwu Utara,71.12,45.97
Luwu Timur,86.59,56.96
Toraja Utara,68.27,66.74
Kota Makasar,75.44,41.15
Kota Parepare,79.99,51.79
Kota Palopo,76.23,47.14
SULAWESI TENGGARA,83.8,56.02
Buton,78.03,53.19
Muna,76.56,51.87
Konawe,85.22,50.47
Kolaka,87.42,57.46
Konawe Selatan,87.7,53.96
Bombana,88.67,55.64
Wakatobi,81.02,56.7
Kolaka Utara,93.06,70.79
Buton Utara,87.4,65.74
Konawe Utara,90.14,57.02
Kolaka Timur,91.05,63.26
Konawe Kepulauan,85.55,55.86
Muna Barat,85.16,64.42
Buton Tengah,76.75,55.82
Buton Selatan,85.21,61.37
Kota Kendari,76.72,51.43
Kota Baubau,76.27,54.72
GORONTALO,83.02,49.95
Boalemo,79.76,54.13
Gorontalo,83.62,48.34
Pohuwato,87.98,53.08
Bone Bolango,82.35,45.12
Gorontalo Utara,87.13,51.4
Kota Gorontalo,79.18,50.23
SULAWESI BARAT,85.29,55.02
Majene,82.23,55.04
Polewali Mandar,86.45,57.37
Mamasa,86.62,69.93
Mamuju,79.51,51.51
Mamuju Utara / Pasangkayu,90.06,45.56
Mamuju Tengah,89.9,48.04
MALUKU,76.49,53.52
Maluku Tenggara Barat / Kepulauan Tanimbar,81.21,63.56
Maluku Tenggara,74.02,57.07
Maluku Tengah,73.28,46.1
Buru,86.61,55.91
Kepulauan Aru,81.96,55.55
Seram Bagian Barat,83.06,60.21
Seram Bagian Timur,80.89,54.78
Maluku Barat Daya,77.83,63.66
Buru Selatan,84.19,63.29
Kota Ambon,70.65,50.55
Kota Tual,72.96,51.6
MALUKU UTARA,81.3,46.57
Halmahera Barat,82.55,46.08
Halmahera Tengah,86.17,50.52
Kepulauan Sula,79.91,38.87
Halmahera Selatan,84.81,51.13
Halmahera Utara,79.17,44
Halmahera Timur,84.39,45.45
Pulau Morotai,77.47,48.87
Pulau Taliabu,90.12,54.12
Kota Ternate,76.11,43.22
Kota Tidore Kepulauan,82.77,51.35
PAPUA BARAT,80.36,57.27
Fakfak,80.74,54.88
Kaimana,85.01,62.13
Teluk Wondama,85.35,64.32
Teluk Bintuni,81.73,53.34
Manokwari,82.15,56.52
Sorong Selatan,80.1,59.88
Sorong,73.26,53.75
Raja Ampat,82.9,58.98
Tambrauw,86.76,59.24
Maybrat,82.84,73.63
Manokwari Selatan,87.39,77.61
Pegunungan Arfak,96.2,94.55
Kota Sorong,75.9,48.36
PAPUA BARAT DAYA,-,-
Raja Ampat,-,-
Sorong,-,-
Sorong Selatan,-,-
Maybrat,-,-
Tambrauw,-,-
Kota Sorong,-,-
PAPUA,79.84,63.47
Merauke,84.47,54.3
Jayawijaya,87.62,75.98
Jayapura,74.2,51.7
Nabire,87.55,58.5
Kepulauan Yapen,67.31,52.93
Biak Numfor,70.95,56.21
Paniai,64.78,50.99
Puncak Jaya,95.99,71.73
Mimika,81.22,38.84
Boven Digoel,89.41,58.8
Mappi,80.11,47.58
Asmat,87.89,75.28
Yahukimo,92.9,78.07
Pegunungan Bintang,87.77,84.92
Tolikara,92.72,93.18
Sarmi,83.31,47.88
Keerom,86.95,64.48
Waropen,81,38.33
Supiori,77.99,60.38
Mamberamo Raya,78.41,44.22
Nduga,95.44,97.24
Lanny Jaya,29.01,45.32
Mamberamo Tengah,68.94,93.56
Yalimo,89.46,88.49
Puncak,88.78,82.79
Dogiyai,84.49,80.51
Intan Jaya,82.57,55.57
Deiyai,89.76,89.54
Kota Jayapura,74.26,50.07
PAPUA SELATAN,-,-
Merauke,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
PAPUA TENGAH,-,-
Mimika,-,-
Dogiyai,-,-
Deiyai,-,-
Nabire,-,-
Paniai,-,-
Intan Jaya,-,-
Puncak,-,-
Puncak Jaya,-,-
PAPUA PEGUNUNGAN,-,-
Nduga,-,-
Jayawijaya,-,-
Lanny Jaya,-,-
Tolikara,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
INDONESIA,82.41,53.13
