Provinsi/Kabupaten/Kota/Indonesia,,
,Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin,
,Laki-laki,Perempuan
,2023,2023
ACEH,80.57,49.05
Simeulue,81.09,59.58
Aceh Singkil,77.66,37.66
Aceh Selatan,81.46,36.42
Aceh Tenggara,81.28,59.6
Aceh Timur,78.37,42.64
Aceh Tengah,84.19,69.38
Aceh Barat,79.2,39.82
Aceh Besar,79.26,54.4
Pidie,78.4,45.17
Bireuen,82.07,52.56
Aceh Utara,75.77,42.17
Aceh Barat Daya,84.81,35.25
Gayo Lues,87.38,69.61
Aceh Tamiang,88.26,49.91
Nagan Raya,85.02,42.05
Aceh Jaya,84.24,56.4
Bener Meriah,87.94,78.47
Pidie Jaya,79.33,40.81
Kota Banda Aceh,76.77,53.3
Kota Sabang,80.33,53.92
Kota Langsa,77.82,42.28
Kota Lhokseumawe,77.64,51.5
Kota Subulussalam,84.57,50.52
SUMATERA UTARA,84.4,57.81
Nias,85.31,78.36
Mandailing Natal,78.6,47.93
Tapanuli Selatan,85.15,66.12
Tapanuli Tengah,82.37,66.61
Tapanuli Utara,85.63,76.83
Toba Samosir / Toba,85.32,76.5
Labuhan Batu,84.65,44.53
Asahan,89.03,49.76
Simalungun,87.71,56.53
Dairi,89.82,79.86
Karo,88.27,79.59
Deli Serdang,82.08,53.21
Langkat,90.15,61.46
Nias Selatan,82.33,76.25
Humbang Hasundutan,88.47,84.91
Pakpak Bharat,89.62,82.22
Samosir,90.9,82.95
Serdang Bedagai,87.12,48.13
Batu Bara,88.9,57.11
Padang Lawas Utara,82.38,64.09
Padang Lawas,89.18,67.08
Labuhan Batu Selatan,88.5,57.35
Labuhan Batu Utara,86.36,42.52
Nias Utara,85.74,76.99
Nias Barat,81.82,80.41
Kota Sibolga,84.42,57.99
Kota Tanjung Balai,83.11,56.16
Kota Pematang Siantar,81.36,60.97
Kota Tebing Tinggi,81.98,49.98
Kota Medan,79.45,50.26
Kota Binjai,78.68,47.27
Kota Padangsidimpuan,80.75,56.95
Kota Gunungsitoli,79.21,57.28
SUMATERA BARAT,82.21,56.94
Kepulauan Mentawai,87.03,72.54
Pesisir Selatan,80.94,49.07
Solok,87.75,65.71
Sijunjung,82.12,54.68
Tanah Datar,79.52,59.31
Padang Pariaman,79.74,50.75
Agam,82.1,56.1
Lima Puluh Kota,83.93,61.45
Pasaman,80.75,65.29
Solok Selatan,88.76,63.89
Dharmasraya,87.45,60.02
Pasaman Barat,82.47,50.11
Kota Padang,80.4,53.67
Kota Solok,81.68,58.53
Kota Sawah Lunto,80.44,59.34
Kota Padang Panjang,76.62,55.53
Kota Bukittinggi,80.1,60.61
Kota Payakumbuh,81.71,62.03
Kota Pariaman,81.34,61.04
RIAU,83.77,44.27
Kuantan Singingi,82.17,45.24
Indragiri Hulu,85.43,48.74
Indragiri Hilir,82.19,37.61
Pelalawan,89.76,46.5
Siak,86.86,43.19
Kampar,81.83,36.42
Rokan Hulu,88.48,44.06
Bengkalis,82.13,40.41
Rokan Hilir,86.64,44.29
Kepulauan Meranti,82.54,47.58
Kota Pekanbaru,78.66,53.5
Kota Dumai,84.99,46.19
JAMBI,85.27,51.68
Kerinci,82.94,60.88
Merangin,87.46,54.44
Sarolangun,85.23,47.14
Batang Hari,84.89,38.16
Muaro Jambi,89.07,58.79
Tanjung Jabung Timur,87.17,47.21
Tanjung Jabung Barat,88.01,51.06
Tebo,88.94,50.28
Bungo,86.53,53.52
Kota Jambi,78.08,51.57
Kota Sungai Penuh,82.81,53.69
SUMATERA SELATAN,85.39,55.54
Ogan Komering Ulu,85.92,58.76
Ogan Komering Ilir,85.62,52.09
Muara Enim,86.62,58.86
Lahat,84.92,64.23
Musi Rawas,83.66,52.32
Musi Banyuasin,89.45,54.79
Banyu Asin,84.46,39.8
Ogan Komering Ulu Selatan,89.93,60.02
Ogan Komering Ulu Timur,90.11,62.3
Ogan Ilir,84.29,62.29
Empat Lawang,82.43,61.79
Penukal Abab Lematang Ilir,88.2,70.48
Musi Rawas Utara,85.02,54.73
Kota Palembang,82.13,53.04
Kota Prabumulih,82.52,54.7
Kota Pagar Alam,86.97,60.18
Kota Lubuklinggau,83.83,57.88
BENGKULU,84.99,56.22
Bengkulu Selatan,85.72,65.85
Rejang Lebong,88.18,67.14
Bengkulu Utara,87.53,48.71
Kaur,80.44,55.64
Seluma,86.83,59.11
Mukomuko,88.48,44.29
Lebong,85.11,54.7
Kepahiang,86.62,64.2
Bengkulu Tengah,84.32,44.65
Kota Bengkulu,78.41,54.74
LAMPUNG,87.3,52.01
Lampung Barat,91.62,71.55
Tanggamus,89.9,49.86
Lampung Selatan,87.63,44.36
Lampung Timur,85.76,51.24
Lampung Tengah,90.7,55.25
Lampung Utara,85.21,45.26
Way Kanan,90.9,54.94
Tulangbawang,87.95,53.86
Pesawaran,85.72,54.22
Pringsewu,88.79,56.94
Mesuji,89.9,49.19
Tulang Bawang Barat,88.15,52.78
Pesisir Barat,84.22,58.56
Kota Bandar Lampung,81.73,49.89
Kota Metro,81.55,56.31
KEP. BANGKA BELITUNG,85.38,50.31
Bangka,84.7,49.07
Belitung,86.13,49.36
Bangka Barat,87.6,51.59
Bangka Tengah,85.17,53.91
Bangka Selatan,88.18,44.22
Belitung Timur,88.79,50.85
Kota Pangkal Pinang,79.11,53.75
KEPULAUAN RIAU,84.92,51.95
Karimun,84.3,44.26
Bintan,85.06,48.86
Natuna,82.69,61.42
Lingga,83.22,55.98
Kepulauan Anambas,85.73,53.67
Kota Batam,86.37,52.65
Kota Tanjung Pinang,79.41,53.48
DKI JAKARTA,80.25,50.12
Kep. Seribu,88.38,59.07
Kota Jakarta Selatan,80.35,51.76
Kota Jakarta Timur,79.52,50.76
Kota Jakarta Pusat,75.91,51.74
Kota Jakarta Barat,81.68,47.85
Kota Jakarta Utara,81.9,48.95
JAWA BARAT,84.63,47.98
