Provinsi/Kabupaten/Kota/Indonesia,,
,Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin,
Bogor,85.13,42.17
Sukabumi,86.5,48.52
Cianjur,89.55,54.2
Bandung,84.44,49.19
Garut,85.1,54.39
Tasikmalaya,84.04,52.39
Ciamis,81.24,51.47
Kuningan,81.9,41.65
Cirebon,84.16,47.86
Majalengka,84.83,52.24
Sumedang,85.32,50.07
Indramayu,83.27,44.53
Subang,86.94,53.27
Purwakarta,85.62,46.68
Karawang,86.17,40.28
Bekasi,87.51,42.05
Bandung Barat,87.72,45.55
Pangandaran,89.45,70.98
Kota Bogor,82.95,46.32
Kota Sukabumi,81.38,43.8
Kota Bandung,83.22,50.73
Kota Cirebon,81.72,55.77
Kota Bekasi,80.38,48.91
Kota Depok,78.46,46.99
Kota Cimahi,83.65,53.07
Kota Tasikmalaya,80.63,49.94
Kota Banjar,84.21,50.74
JAWA TENGAH,84.52,58.92
Cilacap,85,48.11
Banyumas,83.1,46.08
Purbalingga,84.58,62.14
Banjarnegara,86.15,56.74
Kebumen,86.37,62.49
Purworejo,85.74,63.86
Wonosobo,86.96,59.77
Magelang,87.58,71.27
Boyolali,85.48,63.99
Klaten,81.06,52.69
Sukoharjo,78.4,57.05
Wonogiri,90.21,74.8
Karanganyar,81.7,59.88
Sragen,79.05,58.37
Grobogan,88.96,62.7
Blora,87.24,68.88
Rembang,87.26,58.22
Pati,86.82,59.62
Kudus,81.09,63.47
Jepara,85.31,57.81
Demak,83.43,57.99
Semarang,85.98,66.37
Temanggung,85.7,65.91
Kendal,88.63,65.11
Batang,88.45,64.71
Pekalongan,84.29,56.27
Pemalang,86.5,52.33
Tegal,82.59,52.36
Brebes,81.78,50.08
Kota Magelang,78.45,61.1
Kota Surakarta,81.27,57.66
Kota Salatiga,81.58,62.98
Kota Semarang,78.56,60.64
Kota Pekalongan,83.82,63.96
Kota Tegal,82.3,50.89
D I YOGYAKARTA,83.76,64.75
Kulon Progo,85.53,66.31
Bantul,84.2,66.12
Gunung Kidul,87.94,65.81
Sleman,80.39,62.27
Kota Yogyakarta,82.36,64.69
JAWA TIMUR,85.9,59.46
Pacitan,89.37,73.91
Ponorogo,87.73,64.23
Trenggalek,89.02,72.45
Tulungagung,86.89,62.63
Blitar,88.62,58.32
Kediri,85.22,52.08
Malang,85.47,55.79
Lumajang,86.69,50.99
Jember,86.76,58.13
Banyuwangi,89.83,68.37
Bondowoso,87.23,62.11
Situbondo,87.33,63.84
Probolinggo,87.84,51.93
Pasuruan,85.84,56.77
Sidoarjo,83.18,56.08
Mojokerto,87.24,57.77
Jombang,86.04,57.68
Nganjuk,84.91,48.86
Madiun,85.77,59.68
Magetan,88.64,68.82
Ngawi,83.67,55.69
Bojonegoro,88.7,59.94
Tuban,88.35,61.32
Lamongan,85.65,64.63
Gresik,85.82,54.37
Bangkalan,85.12,58.46
Sampang,84.87,62.54
Pamekasan,86.71,68.1
Sumenep,87.7,70.76
Kota Kediri,83.35,60.37
Kota Blitar,80.91,63.87
Kota Malang,79.85,55.64
Kota Probolinggo,83.66,57.93
Kota Pasuruan,86.08,65.34
Kota Mojokerto,83.87,61.43
Kota Madiun,78.69,60.42
Kota Surabaya,80.25,57.61
Kota Batu,88.43,69.48
BANTEN,82.16,46.16
Pandeglang,77.78,41.92
Lebak,84.73,50.06
Tangerang,85.07,47.98
Serang,81.52,44.15
Kota Tangerang,79.92,46.7
Kota Cilegon,82.76,42.22
Kota Serang,84.56,51.65
Kota Tangerang Selatan,79.16,42.15
BALI,83.55,70.63
Jembrana,85.49,74.67
Tabanan,81.28,67.17
Badung,81.42,66.21
Gianyar,82.08,72.53
Klungkung,84.97,74.82
Bangli,86.5,79.56
Karangasem,89.5,82.52
Buleleng,83.82,67.18
Kota Denpasar,81.31,64.84
NUSA TENGGARA BARAT,84.18,62.54
Lombok Barat,85.25,62.79
Lombok Tengah,86.54,67.23
Lombok Timur,82.04,60.17
Sumbawa,83.59,59.09
Dompu,86.73,58.27
Bima,86.29,64.38
Sumbawa Barat,84.31,57.4
Lombok Utara,85.71,66.71
Kota Mataram,77.88,58.92
Kota Bima,86.77,69.72
NUSA TENGGARA TIMUR,83.03,68.52
Sumba Barat,84.24,73.14
Sumba Timur,84.25,78.3
Kupang,85.86,67.79
Timor Tengah Selatan,91,75.49
Timor Tengah Utara,83.06,68.48
Belu,81.34,57.68
Alor,83.81,78.02
Lembata,81.43,73.99
Flores Timur,82.91,62.78
Sikka,83.33,66.2
Ende,76.98,72.56
Ngada,79.3,70.47
Manggarai,83.27,75.04
Rote Ndao,77.42,60.53
Manggarai Barat,81.65,59.69
Sumba Tengah,86.67,70.48
Sumba Barat Daya,86.04,74
Nagekeo,86.92,67.28
Manggarai Timur,83.05,77.56
Sabu Raijua,80.41,71.64
Malaka,80.15,67.11
Kota Kupang,77.64,51.78
KALIMANTAN BARAT,84.85,53.11
Sambas,85.55,59.39
Bengkayang,86.12,58.58
Landak,84.2,56.61
Mempawah,85.05,50.72
Sanggau,86.68,52.59
Ketapang,83.54,47.81
Sintang,87.06,60.2
Kapuas Hulu,83.19,60.77
Sekadau,88.58,57.73
Melawi,87.42,59.2
Kayong Utara,86.83,57.37
Kubu Raya,84.05,45.7
Kota Pontianak,81.31,45.88
Kota Singkawang,84.04,48.41
KALIMANTAN TENGAH,84.85,48.13
Kotawaringin Barat,86.31,46.58
Kotawaringin Timur,83.87,40.55
Kapuas,83.56,48.49
Barito Selatan,83.1,47.39
Barito Utara,86.98,52.09
Sukamara,87.53,55.44
Lamandau,88.66,46
Seruyan,87.25,45.22
Katingan,85.74,41.32
Pulang Pisau,89.05,59.49
Gunung Mas,88.09,51.86
Barito Timur,85.61,63.44
Murung Raya,83.3,48.74
Kota Palangka Raya,79.34,49.57
KALIMANTAN SELATAN,85.52,53.75
Tanah Laut,87.71,50.6
Kotabaru,84.42,42.1
Banjar,84.13,56.1
Barito Kuala,87.47,55.96
Tapin,87.51,52.67
Hulu Sungai Selatan,89.05,60.81
Hulu Sungai Tengah,84.97,58.9
Hulu Sungai Utara,85.31,65.53
Tabalong,86.55,59.03
Tanah Bumbu,91.06,45.01
Balangan,87.11,59.07
Kota Banjarmasin,80.62,51.94
Kota Banjar Baru,84.37,50.06
KALIMANTAN TIMUR,82.82,46.86
Paser,86.02,37.72
Kutai Barat,86.45,52.48
Kutai Kartanegara,83.73,45.2
Kutai Timur,86.78,41.72
Berau,86.93,43.32
Penajam Paser Utara,83.72,47.6
Mahakam Ulu,83.12,66
Kota Balikpapan,79.04,47.25
Kota Samarinda,80.09,50.42
Kota Bontang,80.11,55.91
KALIMANTAN UTARA,85.18,53.6
Malinau,86.58,59.97
Bulungan,84.5,57.19
Tana Tidung,88.56,61.09
Nunukan,87.19,54.36
Kota Tarakan,83.02,47.9
SULAWESI UTARA,80.93,46.53
Bolaang Mongondow,86.14,42.7
Minahasa,78.07,43.56
Kepulauan Sangihe,78.92,50.92
Kepulauan Talaud,85.51,61.58
Minahasa Selatan,81.77,44.36
Minahasa Utara,79.38,43.22
Bolaang Mongondow Utara,82.57,45.39
Siau Tagulandang Biaro,82.85,42.53
Minahasa Tenggara,82.49,52.44
Bolaang Mongondow Selatan,86.47,40.31
Bolaang Mongondow Timur,85.82,51.01
Kota Manado,74.76,47.86
Kota Bitung,84.64,43.39
Kota Tomohon,78.83,48.22
Kota Kotamobagu,84.95,53.19
SULAWESI TENGAH,85.42,53.4
Banggai Kepulauan,84.84,60.39
Banggai,85.72,57.17
Morowali,84.99,24.21
Poso,83.67,57.69
Donggala,85.44,46.45
Toli-Toli,84.87,52.11
Buol,85.62,52.25
Parigi Moutong,87.45,58.37
Tojo Una-Una,87.18,62.12
Sigi,86.41,54.75
Banggai Laut,81.85,36.17
Morowali Utara,86.29,52.69
Kota Palu,83.32,55.36
SULAWESI SELATAN,82.22,49.62
Kepulauan Selayar,84.98,59.53
Bulukumba,84.61,57.92
Bantaeng,86.91,64.68
Jeneponto,82.81,50.68
Takalar,83.96,48.98
Gowa,87.81,52.06
Sinjai,81.99,52.88
Maros,81.11,42.01
Pangkajene dan Kepulauan,85.21,55.64
Barru,81.07,44.64
Bone,82.22,44.38
Soppeng,77.89,42.64
Wajo,85.46,47.64
Sidenreng Rappang,78.81,33.01
Pinrang,82.02,39.92
Enrekang,83.18,52.54
Luwu,84.32,52.8
Tana Toraja,88.52,75.74
Luwu Utara,82.17,51.62
Luwu Timur,84.5,53.24
Toraja Utara,81.06,73.8
Kota Makasar,75.86,42.06
Kota Parepare,80.09,51.44
Kota Palopo,78.31,53.29
SULAWESI TENGGARA,84.15,55.64
Buton,79.43,57.34
Muna,79.7,62.31
Konawe,84.91,49.62
Kolaka,84.91,44.73
Konawe Selatan,85.77,53.19
Bombana,86.66,48.35
Wakatobi,83.38,62.69
Kolaka Utara,89.37,57.81
Buton Utara,89.23,72.33
Konawe Utara,87.72,52.37
Kolaka Timur,88.6,64.96
Konawe Kepulauan,86.54,62.96
Muna Barat,89.35,63.81
Buton Tengah,78.34,56.93
Buton Selatan,82.61,62.2
Kota Kendari,80.83,52.75
Kota Baubau,82.72,58.5
GORONTALO,85.34,56.07
Boalemo,87.57,56.45
Gorontalo,85.64,60.09
Pohuwato,90.93,54.44
Bone Bolango,82.42,54.35
Gorontalo Utara,86.88,54.74
Kota Gorontalo,80.33,51.34
SULAWESI BARAT,86.28,55.4
Majene,79.89,48.44
Polewali Mandar,86.02,60.99
Mamasa,85.09,71.34
Mamuju,86.8,48.81
Mamuju Utara / Pasangkayu,90.99,52.39
Mamuju Tengah,88.57,41.86
MALUKU,74.34,52.68
Maluku Tenggara Barat / Kepulauan Tanimbar,71.12,52.74
Maluku Tenggara,72.47,50.57
Maluku Tengah,76.28,50.06
Buru,84.48,62.47
Kepulauan Aru,77.77,40.41
Seram Bagian Barat,71.65,53.37
Seram Bagian Timur,63.75,49.42
Maluku Barat Daya,77.48,58
Buru Selatan,81.08,55.7
Kota Ambon,74.43,57.3
Kota Tual,66.36,44.82
MALUKU UTARA,82.13,52.48
Halmahera Barat,82.67,52.73
Halmahera Tengah,84.81,54.59
Kepulauan Sula,80.93,42.86
Halmahera Selatan,84.35,60.99
Halmahera Utara,83.61,55.23
Halmahera Timur,86.66,52.98
Pulau Morotai,78.69,49.71
Pulau Taliabu,86.71,37.47
Kota Ternate,75.02,47.25
Kota Tidore Kepulauan,82.29,54.8
PAPUA BARAT,79.21,53.82
Fakfak,78.66,50.39
Kaimana,75.55,52.55
Teluk Wondama,77.9,59.28
Teluk Bintuni,82.27,50.03
Manokwari,81.45,53.8
Sorong Selatan,76.1,60.15
Sorong,79.94,50.63
Raja Ampat,72.41,43.34
Tambrauw,85.36,70
Maybrat,81.65,73.18
Manokwari Selatan,89.05,71.28
Pegunungan Arfak,95.12,93.84
Kota Sorong,75.03,44.5
PAPUA BARAT DAYA,-,-
Raja Ampat,-,-
Sorong,-,-
Sorong Selatan,-,-
Maybrat,-,-
Tambrauw,-,-
Kota Sorong,-,-
PAPUA,86.64,66.27
Merauke,80.02,56.11
Jayawijaya,90.73,80.71
Jayapura,82.64,51.04
Nabire,81.8,54.86
Kepulauan Yapen,75.74,45.16
Biak Numfor,74.33,57.16
Paniai,88.54,48.06
Puncak Jaya,95.5,74.28
Mimika,85.41,42.67
Boven Digoel,81.96,59.67
Mappi,74.83,34.87
Asmat,67.86,50.72
Yahukimo,89.84,65.82
Pegunungan Bintang,90.51,83.84
Tolikara,91.32,89.72
Sarmi,79.4,49.54
Keerom,87.48,64.53
Waropen,77.04,54.39
Supiori,71.68,42.08
Mamberamo Raya,54.37,29.89
Nduga,95.35,98.09
Lanny Jaya,94.47,96.45
Mamberamo Tengah,93.62,91.23
Yalimo,92.54,91.03
Puncak,94.05,92.62
Dogiyai,89.93,88.86
Intan Jaya,89.36,75.53
Deiyai,84.26,51.29
Kota Jayapura,81.92,50.37
PAPUA SELATAN,-,-
Merauke,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
PAPUA TENGAH,-,-
Mimika,-,-
Dogiyai,-,-
Deiyai,-,-
Nabire,-,-
Paniai,-,-
Intan Jaya,-,-
Puncak,-,-
Puncak Jaya,-,-
PAPUA PEGUNUNGAN,-,-
Nduga,-,-
Jayawijaya,-,-
Lanny Jaya,-,-
Tolikara,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
INDONESIA,84.26,54.52
