Provinsi/Kabupaten/Kota/Indonesia,,
,Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin,
,Laki-laki,Perempuan
,2018,2018
ACEH,80.03,48.24
Simeulue,79.73,48.24
Aceh Singkil,80.54,45.24
Aceh Selatan,83.95,48.05
Aceh Tenggara,82.5,63.43
Aceh Timur,83,48.72
Aceh Tengah,82.18,62.34
Aceh Barat,74.14,33.67
Aceh Besar,75.64,40.43
Pidie,75.68,49.07
Bireuen,82.36,48.45
Aceh Utara,81.9,45.63
Aceh Barat Daya,79.78,47.47
Gayo Lues,86.97,69.32
Aceh Tamiang,85.95,51.17
Nagan Raya,81.97,38.89
Aceh Jaya,86.18,53.22
Bener Meriah,87.16,69.39
Pidie Jaya,80.76,43.03
Kota Banda Aceh,71.2,47.75
Kota Sabang,81.9,48.76
Kota Langsa,74.31,51.22
Kota Lhokseumawe,76.22,39.16
Kota Subulussalam,76.41,41.51
SUMATERA UTARA,84.21,59.97
Nias,85.29,78.35
Mandailing Natal,83,64.89
Tapanuli Selatan,86.63,67.65
Tapanuli Tengah,86.46,64.73
Tapanuli Utara,87.77,80.1
Toba Samosir / Toba,84.84,75.29
Labuhan Batu,83.91,52
Asahan,84.79,50.77
Simalungun,84.47,62.21
Dairi,91.73,85.38
Karo,87.26,81.23
Deli Serdang,85.38,55.67
Langkat,85.74,56.72
Nias Selatan,83.25,75.44
Humbang Hasundutan,92.23,89.82
Pakpak Bharat,95.94,89.45
Samosir,86.89,78.96
Serdang Bedagai,85.1,51.74
Batu Bara,85.93,53.16
Padang Lawas Utara,90.03,68.34
Padang Lawas,82.74,61.35
Labuhan Batu Selatan,87.96,48.74
Labuhan Batu Utara,85.19,54.13
Nias Utara,83.18,76.68
Nias Barat,90.99,90.75
Kota Sibolga,83.42,65.75
Kota Tanjung Balai,85,55.57
Kota Pematang Siantar,77.21,56.13
Kota Tebing Tinggi,83.47,54.43
Kota Medan,78.9,54.06
Kota Binjai,83.69,50.61
Kota Padangsidimpuan,80.77,65.44
Kota Gunungsitoli,77.94,59.67
SUMATERA BARAT,80.66,54.81
Kepulauan Mentawai,82.39,66.79
Pesisir Selatan,83.37,50.43
Solok,82.23,55.09
Sijunjung,80,56.97
Tanah Datar,80.45,58.44
Padang Pariaman,81.44,50.66
Agam,80.91,56.94
Lima Puluh Kota,83.65,62.96
Pasaman,80.8,54.03
Solok Selatan,85.92,63.64
Dharmasraya,85.47,50.1
Pasaman Barat,79.25,54.55
Kota Padang,76.12,49.61
Kota Solok,79.59,50.43
Kota Sawah Lunto,83.24,62.88
Kota Padang Panjang,74.79,57.83
Kota Bukittinggi,80.9,58.37
Kota Payakumbuh,82.36,59.53
Kota Pariaman,76.57,58.01
RIAU,83.88,45.68
Kuantan Singingi,82.17,44.71
Indragiri Hulu,86.45,48.9
Indragiri Hilir,86.5,37.97
Pelalawan,89.92,47.94
Siak,86.36,45.37
Kampar,80.72,45.18
Rokan Hulu,86.29,42.92
Bengkalis,85.06,45.93
Rokan Hilir,86.88,38.86
Kepulauan Meranti,82.65,54.14
Kota Pekanbaru,78.16,52.74
Kota Dumai,80.31,46.89
JAMBI,84.08,51.69
Kerinci,80.95,61.54
Merangin,86.94,51.43
Sarolangun,83.25,50.33
Batang Hari,84.17,44.84
Muaro Jambi,86.38,39.64
Tanjung Jabung Timur,86.62,55.44
Tanjung Jabung Barat,88.81,60.73
Tebo,86.49,53.35
Bungo,84.6,48.77
Kota Jambi,76.98,53.29
Kota Sungai Penuh,83.92,58.98
SUMATERA SELATAN,83.25,53.23
Ogan Komering Ulu,83.03,48.57
Ogan Komering Ilir,84.2,55.67
Muara Enim,84.39,60.12
Lahat,86.19,62.34
Musi Rawas,89.41,57.98
Musi Banyuasin,83.31,46.1
Banyu Asin,87.49,43.88
Ogan Komering Ulu Selatan,88.02,63.83
Ogan Komering Ulu Timur,86.49,53.29
Ogan Ilir,84.34,61.41
Empat Lawang,84.68,64.38
Penukal Abab Lematang Ilir,86.33,66.39
Musi Rawas Utara,88.68,51.03
Kota Palembang,74.26,46.83
Kota Prabumulih,82.41,57.93
Kota Pagar Alam,84.52,58.34
Kota Lubuklinggau,83.13,52.67
BENGKULU,83.67,56.26
Bengkulu Selatan,79.94,63.55
Rejang Lebong,86.69,67.16
Bengkulu Utara,87.77,49.16
Kaur,86.35,59.83
Seluma,84.11,58.56
Mukomuko,83.49,42.24
Lebong,85.51,55.51
Kepahiang,86.79,62.63
Bengkulu Tengah,85.45,57.54
Kota Bengkulu,76.35,52.39
LAMPUNG,87.03,51.22
Lampung Barat,92.7,65.25
Tanggamus,91.43,58.05
Lampung Selatan,85.55,45.8
Lampung Timur,87.99,46.99
Lampung Tengah,89.84,56.69
Lampung Utara,85.99,50.47
Way Kanan,88.92,53.74
Tulangbawang,88.68,48.02
Pesawaran,86.6,48.77
Pringsewu,84.98,50.02
Mesuji,87.2,39.77
Tulang Bawang Barat,88.44,50.85
Pesisir Barat,89.36,42.94
Kota Bandar Lampung,80.19,51.58
Kota Metro,79.31,52.24
KEP. BANGKA BELITUNG,83.21,50.03
Bangka,80.5,44.96
Belitung,86.24,52
Bangka Barat,84.35,53.95
Bangka Tengah,83.31,56.47
Bangka Selatan,85.27,47.64
Belitung Timur,88.37,53.06
Kota Pangkal Pinang,78.37,47.17
KEPULAUAN RIAU,81.45,46.62
Karimun,78.08,46.52
Bintan,79.88,42.57
Natuna,81.62,49.76
Lingga,81.74,48.15
Kepulauan Anambas,83.26,52.82
Kota Batam,83.3,46.48
Kota Tanjung Pinang,74.3,47.64
DKI JAKARTA,78.14,47.86
Kep. Seribu,76.18,44.02
Kota Jakarta Selatan,78.23,51.61
Kota Jakarta Timur,77.65,43.69
Kota Jakarta Pusat,78.86,49.81
Kota Jakarta Barat,77.24,44.96
Kota Jakarta Utara,79.76,52.85
JAWA BARAT,82.96,42.25
Bogor,84.53,39.82
Sukabumi,87,37.81
Cianjur,84.58,34.24
Bandung,81.2,41.88
Garut,82.76,37.22
Tasikmalaya,82.4,46.41
Ciamis,85.83,48.37
Kuningan,79.42,37.79
Cirebon,80.74,41.85
Majalengka,84.7,46.92
Sumedang,83.37,40.94
Indramayu,85.54,42.95
Subang,86.96,41.5
Purwakarta,83.08,42.47
Karawang,84.96,43.49
Bekasi,83.69,38
Bandung Barat,84.09,37.76
Pangandaran,88.01,67.74
Kota Bogor,79.74,46.08
Kota Sukabumi,79.42,39.39
Kota Bandung,78.03,45.46
Kota Cirebon,79.63,56.3
Kota Bekasi,80.48,49.83
Kota Depok,79.98,44.93
Kota Cimahi,82.65,46
Kota Tasikmalaya,81.96,43.26
Kota Banjar,81.07,49.47
