Provinsi/Kabupaten/Kota/Indonesia,,
,Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin,
JAWA TENGAH,81.59,56.43
Cilacap,77.64,47.7
Banyumas,83.1,52.59
Purbalingga,83.5,58.18
Banjarnegara,86.35,57.63
Kebumen,79.72,52.15
Purworejo,78.89,55.44
Wonosobo,84.03,60.51
Magelang,80.92,62.02
Boyolali,82.69,62.45
Klaten,79.24,55.72
Sukoharjo,79.4,57.87
Wonogiri,85.45,65.75
Karanganyar,80.87,60.41
Sragen,80.91,54.36
Grobogan,81.51,60.46
Blora,85.34,61.25
Rembang,80.54,55.15
Pati,81.71,53.11
Kudus,81.04,64.11
Jepara,82.87,55.46
Demak,82.49,59.84
Semarang,80.96,64.49
Temanggung,86.75,61.49
Kendal,81.68,50.57
Batang,84.02,56.69
Pekalongan,83.79,57.94
Pemalang,82.06,49.18
Tegal,82.22,49.19
Brebes,81.71,52.64
Kota Magelang,77.15,60.99
Kota Surakarta,76.06,56.68
Kota Salatiga,77.75,66.88
Kota Semarang,78.3,54.28
Kota Pekalongan,80.31,60.59
Kota Tegal,78.23,53.3
D I YOGYAKARTA,82.57,64.03
Kulon Progo,85.51,67.73
Bantul,84.23,63.37
Gunung Kidul,87.49,66.78
Sleman,79.88,61.92
Kota Yogyakarta,75.42,62.83
JAWA TIMUR,84.41,55.31
Pacitan,89.57,70.05
Ponorogo,84.17,60.38
Trenggalek,87.65,63.38
Tulungagung,84.24,58.12
Blitar,85.92,55.34
Kediri,85.11,50.49
Malang,85.67,53.92
Lumajang,87.02,50.71
Jember,86.36,50.78
Banyuwangi,87.86,56.87
Bondowoso,86.17,58.1
Situbondo,89.45,55.95
Probolinggo,87.15,51.26
Pasuruan,85.11,54.95
Sidoarjo,79.96,49.8
Mojokerto,85.25,58.91
Jombang,86.37,54.24
Nganjuk,85.48,50.98
Madiun,82.71,56.98
Magetan,86.49,69.44
Ngawi,87.65,64.09
Bojonegoro,84.37,50.97
Tuban,88.97,55.45
Lamongan,81.98,55.36
Gresik,84.25,51.35
Bangkalan,81.02,58.72
Sampang,78.17,57.78
Pamekasan,79.3,60.85
Sumenep,84.79,60.43
Kota Kediri,74.95,56.14
Kota Blitar,80.18,64.88
Kota Malang,79.18,53.85
Kota Probolinggo,80.51,50.61
Kota Pasuruan,81.6,52.17
Kota Mojokerto,79.08,60.37
Kota Madiun,78.09,52.2
Kota Surabaya,81.21,53.85
Kota Batu,85,56.09
BANTEN,80.85,44.3
Pandeglang,82.55,41.4
Lebak,81.59,52.48
Tangerang,83.36,41.57
Serang,80.61,42.5
Kota Tangerang,79.22,46.03
Kota Cilegon,81.12,43.96
Kota Serang,76.02,47.82
Kota Tangerang Selatan,77.94,44.09
BALI,82.94,70.14
Jembrana,85.21,69.61
Tabanan,83.65,71.11
Badung,79.61,62.38
Gianyar,83.09,74.79
Klungkung,80.49,75.37
Bangli,88.7,82.68
Karangasem,84.17,80.42
Buleleng,82.68,70.67
Kota Denpasar,82.94,63.68
NUSA TENGGARA BARAT,80,54.27
Lombok Barat,76.09,44.64
Lombok Tengah,79.52,57.17
Lombok Timur,76.51,55.99
Sumbawa,87.91,48.86
Dompu,82.2,49.17
Bima,86.51,65.76
Sumbawa Barat,86.7,56.81
Lombok Utara,-,-
Kota Mataram,76.36,50.43
Kota Bima,81.91,62.27
NUSA TENGGARA TIMUR,83,60.9
Sumba Barat,76.59,54.33
Sumba Timur,87.68,67.52
Kupang,86,55.35
Timor Tengah Selatan,87.81,67.08
Timor Tengah Utara,88.85,65.06
Belu,80.89,54.07
Alor,75.47,60.16
Lembata,84.25,57.37
Flores Timur,83.36,59.18
Sikka,85,60.82
Ende,84.13,66.84
Ngada,79.26,66.81
Manggarai,82.97,67.8
Rote Ndao,85.94,62.05
Manggarai Barat,84.76,54
Sumba Tengah,76.78,52.72
Sumba Barat Daya,87.62,73.57
Nagekeo,76.89,54.42
Manggarai Timur,85.61,54.08
Sabu Raijua,84.39,70.34
Malaka,87.03,61.74
Kota Kupang,69.55,49.94
KALIMANTAN BARAT,84.09,53.07
Sambas,85.36,58.42
Bengkayang,86.1,65.38
Landak,85.34,62.93
Mempawah,82.59,47.31
Sanggau,85.79,58.85
Ketapang,86.83,44.39
Sintang,86.4,56.34
Kapuas Hulu,85.95,65.97
Sekadau,88.57,63.94
Melawi,86.83,60.03
Kayong Utara,83.91,46.95
Kubu Raya,83.13,41.31
Kota Pontianak,78.36,44.51
Kota Singkawang,74.55,47.27
KALIMANTAN TENGAH,85.92,51.82
Kotawaringin Barat,89.13,52.54
Kotawaringin Timur,87.58,45.97
Kapuas,85.46,52.58
Barito Selatan,80.49,42.61
Barito Utara,85.89,60.23
Sukamara,88.71,56.91
Lamandau,84.5,47.98
Seruyan,90.48,55.81
Katingan,85.49,51.34
Pulang Pisau,87.75,52.38
Gunung Mas,88.81,60.13
Barito Timur,88.92,67.96
Murung Raya,85.95,50.28
Kota Palangka Raya,76.43,47.8
KALIMANTAN SELATAN,84.22,54.98
Tanah Laut,85.27,47.32
Kotabaru,85.51,52.84
Banjar,86.85,55.61
Barito Kuala,90.61,67.95
Tapin,85.76,53.61
Hulu Sungai Selatan,84.24,59.61
Hulu Sungai Tengah,84.85,63.14
Hulu Sungai Utara,82.72,58.09
Tabalong,88.41,61.39
Tanah Bumbu,83.02,47.07
Balangan,86.75,68.03
Kota Banjarmasin,80.12,48.96
Kota Banjar Baru,74.8,49.81
KALIMANTAN TIMUR,82.06,45.18
Paser,85.73,45.23
Kutai Barat,85.01,55.59
Kutai Kartanegara,83.64,42.33
Kutai Timur,85.04,49.38
Berau,87.33,43.62
Penajam Paser Utara,82.16,44.87
Mahakam Ulu,85.24,71.78
Kota Balikpapan,77.56,48.81
Kota Samarinda,79.63,40.95
Kota Bontang,81.28,46.36
KALIMANTAN UTARA,81.82,49.44
Malinau,87.79,59.34
Bulungan,82.96,51.83
Tana Tidung,82.85,36.04
Nunukan,87.16,53.25
Kota Tarakan,75.1,43.93
SULAWESI UTARA,80.34,45.16
Bolaang Mongondow,85.01,43.06
Minahasa,80.17,51.17
Kepulauan Sangihe,80.38,46.35
Kepulauan Talaud,85.88,49.96
Minahasa Selatan,82.79,45.34
Minahasa Utara,80.49,39.46
Bolaang Mongondow Utara,81.34,36.44
Siau Tagulandang Biaro,81.11,51.35
Minahasa Tenggara,81.03,41.72
Bolaang Mongondow Selatan,85.84,34.51
Bolaang Mongondow Timur,83.29,43.39
Kota Manado,74.72,44.6
Kota Bitung,80.28,44.64
Kota Tomohon,76.21,45.52
Kota Kotamobagu,80.26,49.22
SULAWESI TENGAH,84.98,53.91
Banggai Kepulauan,83.39,57.28
Banggai,85.61,57.48
Morowali,86.27,35.05
Poso,88.8,61.47
Donggala,84.13,42.92
Toli-Toli,86.15,46.93
Buol,84.75,48.75
Parigi Moutong,87.16,56.54
Tojo Una-Una,87.08,65.83
Sigi,83.74,54.27
Banggai Laut,83.29,55.59
Morowali Utara,90.63,59.21
Kota Palu,77.76,54.55
SULAWESI SELATAN,81.33,47.65
Kepulauan Selayar,86.45,49.75
Bulukumba,87.91,43.97
Bantaeng,87.62,58.36
Jeneponto,85.25,53.9
Takalar,85.11,48.91
Gowa,83.67,53.93
Sinjai,85.6,54.89
Maros,80.25,42.05
Pangkajene dan Kepulauan,83.57,46.34
Barru,80.76,36.56
Bone,79.07,39.99
Soppeng,81.61,49.55
Wajo,82.87,39.16
Sidenreng Rappang,81.12,34.2
Pinrang,79.74,41.89
Enrekang,83.45,53.29
Luwu,80.14,46.62
Tana Toraja,85.96,75.14
Luwu Utara,80.62,49.15
Luwu Timur,88.92,53.67
Toraja Utara,76.95,69.01
Kota Makasar,75.23,45.9
Kota Parepare,81.46,48.93
Kota Palopo,75.82,45.06
SULAWESI TENGGARA,83.97,55.65
Buton,80.59,60.72
Muna,75.65,54.64
Konawe,87.6,53.18
Kolaka,87.25,51.36
Konawe Selatan,88.15,60.56
Bombana,86.8,56.92
Wakatobi,85.2,58.52
Kolaka Utara,90.8,56.08
Buton Utara,85.44,65.22
Konawe Utara,89.5,59.4
Kolaka Timur,91.18,63.95
Konawe Kepulauan,85.63,67.68
Muna Barat,88.81,68.24
Buton Tengah,78.11,50.66
Buton Selatan,78.52,48.09
Kota Kendari,75.25,48
Kota Baubau,81.2,56.06
GORONTALO,84.24,51.66
Boalemo,84.48,57.04
Gorontalo,83.47,54.62
Pohuwato,88.03,50.73
Bone Bolango,86.7,46.6
Gorontalo Utara,87.63,55.51
Kota Gorontalo,79.07,45.41
SULAWESI BARAT,84.52,53.96
Majene,85.3,59.48
Polewali Mandar,82.44,51.49
Mamasa,84.87,68.16
Mamuju,83.13,43.79
Mamuju Utara / Pasangkayu,87.24,52.03
Mamuju Tengah,89.4,62.92
MALUKU,77.5,50.05
Maluku Tenggara Barat / Kepulauan Tanimbar,80.45,59.03
Maluku Tenggara,72.78,53.23
Maluku Tengah,80.26,47.46
Buru,80.83,52.99
Kepulauan Aru,82.05,41.91
Seram Bagian Barat,83.16,54.97
Seram Bagian Timur,81.71,45.49
Maluku Barat Daya,83.9,66.33
Buru Selatan,83.66,57.96
Kota Ambon,70.24,46.07
Kota Tual,69.64,50.41
MALUKU UTARA,80.88,49.92
Halmahera Barat,83.71,47.08
Halmahera Tengah,87.79,42.46
Kepulauan Sula,81.96,48.57
Halmahera Selatan,87.26,58.33
Halmahera Utara,79.19,44.68
Halmahera Timur,87.2,58.54
Pulau Morotai,81.22,43
Pulau Taliabu,91.49,55.94
Kota Ternate,70.5,45.2
Kota Tidore Kepulauan,75.88,55
PAPUA BARAT,80.71,52.15
Fakfak,77.6,41.38
Kaimana,77.92,48.13
Teluk Wondama,76.44,46.37
Teluk Bintuni,88.23,49.79
Manokwari,78.5,46.92
Sorong Selatan,81.51,54.48
Sorong,82.58,46.6
Raja Ampat,86.48,44.61
Tambrauw,86.92,76.95
Maybrat,78.68,63.52
Manokwari Selatan,84.77,69.28
Pegunungan Arfak,85.14,92.02
Kota Sorong,79.74,53.78
PAPUA BARAT DAYA,-,-
Raja Ampat,-,-
Sorong,-,-
Sorong Selatan,-,-
Maybrat,-,-
Tambrauw,-,-
Kota Sorong,-,-
PAPUA,86.44,70.53
Merauke,82.51,54.66
Jayawijaya,92.05,87.05
Jayapura,77.14,60.72
Nabire,85.51,56.63
Kepulauan Yapen,78.56,47.45
Biak Numfor,75.32,45.34
Paniai,92.89,84.75
Puncak Jaya,91.94,93.36
Mimika,87.24,43.28
Boven Digoel,90.03,69.55
Mappi,89.78,65.08
Asmat,86.43,78.55
Yahukimo,90.99,78.94
Pegunungan Bintang,90.05,84.01
Tolikara,95.1,95.57
Sarmi,85.41,55.5
Keerom,87.6,57.04
Waropen,80.2,35.01
Supiori,77.28,37.99
Mamberamo Raya,87.92,48.45
Nduga,91.27,93.52
Lanny Jaya,93.32,92.29
Mamberamo Tengah,95.23,96.18
Yalimo,85.02,87.7
Puncak,93.82,94.54
Dogiyai,88.34,84.09
Intan Jaya,83.51,64.56
Deiyai,91.2,88.42
Kota Jayapura,73.72,52.18
PAPUA SELATAN,-,-
Merauke,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
PAPUA TENGAH,-,-
Mimika,-,-
Dogiyai,-,-
Deiyai,-,-
Nabire,-,-
Paniai,-,-
Intan Jaya,-,-
Puncak,-,-
Puncak Jaya,-,-
PAPUA PEGUNUNGAN,-,-
Nduga,-,-
Jayawijaya,-,-
Lanny Jaya,-,-
Tolikara,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
INDONESIA,82.8,51.8
